PROGNAME,VARIANT,ARGS,HOSTNAME,RUNID,CI_BUILD_ID,THREADS,DATETIME,MINTIME,MEDIANTIME,MAXTIME,MINTIME_PRODUCTIVITY,MEDIANTIME_PRODUCTIVITY,MAXTIME_PRODUCTIVITY,ALLTIMES,TRIALS,COMPILER,COMPILE_FLAGS,RUNTIME_FLAGS,ENV_VARS,BENCH_VERSION,BENCH_FILE,UNAME,PROCESSOR,TOPOLOGY,GIT_BRANCH,GIT_HASH,GIT_DEPTH,WHO,ETC_ISSUE,LSPCI,FULL_LOG,MEDIANTIME_ALLOCRATE,MEDIANTIME_MEMFOOTPRINT,ALLJITTIMES,RETRIES
"clustal","nondet","","cutter07","cutter07_1492146725","jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=clustal_nondet,label=CREST_cutter-12","1","2017-04-14 05:12:05.321725 UTC","62.950960242","64.21575284","64.21575284","","99.4","","63.564542027 63.969164119 62.950960242 63.925878578 64.21575284 63.910868003 63.435618768 64.05638289 63.224980728","1","The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS","[[]]","0.0","","Linux cutter07 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","710c5e73c5ef9784be2adb2e5bb2cdd4ede91eef","482","","","","","83464169","2780920","","0"
"clustal","nondet","","cutter07","cutter07_1492146725","jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=clustal_nondet,label=CREST_cutter-12","2","2017-04-14 05:12:05.321725 UTC","33.055205547","33.128723593","33.962991424","","98.5","","33.055205547 33.246945038 33.290216621 33.962991424 33.128723593 33.398503772 33.470433591 33.261159639 33.36719352","1","The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS","[[]]","0.0","","Linux cutter07 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","710c5e73c5ef9784be2adb2e5bb2cdd4ede91eef","482","","","","","171826800","2921208","","0"
"clustal","nondet","","cutter07","cutter07_1492146725","jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=clustal_nondet,label=CREST_cutter-12","3","2017-04-14 05:12:05.321725 UTC","22.982916911","23.300947698","23.300947698","","89.1","","23.031482347 22.982945989 23.026145528 23.022512242 23.300947698 22.982916911 23.165580659 23.211062345 23.004427612","1","The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS","[[]]","0.0","","Linux cutter07 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","710c5e73c5ef9784be2adb2e5bb2cdd4ede91eef","482","","","","","258742731","3031080","","0"
"clustal","nondet","","cutter07","cutter07_1492146725","jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=clustal_nondet,label=CREST_cutter-12","4","2017-04-14 05:12:05.321725 UTC","18.099130732","18.154224878","18.234785625","","95.9","","18.20975688 18.099130732 18.141036877 18.234785625 18.154224878 18.149150236 18.125003475 18.106942034 18.189792016","1","The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS","[[]]","0.0","","Linux cutter07 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","710c5e73c5ef9784be2adb2e5bb2cdd4ede91eef","482","","","","","219780255","3071440","","0"
"clustal","nondet","","cutter07","cutter07_1492146725","jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=clustal_nondet,label=CREST_cutter-12","5","2017-04-14 05:12:05.321725 UTC","15.522695205","15.595974975","15.75088016","","86.7","","15.714652697 15.626495047 15.716931315 15.522695205 15.595974975 15.75088016 15.715563137 15.620178298 15.710195751","1","The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS","[[]]","0.0","","Linux cutter07 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","710c5e73c5ef9784be2adb2e5bb2cdd4ede91eef","482","","","","","391997538","3058384","","0"
"clustal","nondet","","cutter07","cutter07_1492146725","jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=clustal_nondet,label=CREST_cutter-12","6","2017-04-14 05:12:05.321725 UTC","13.828498293","14.236473112","14.236473112","","90.9","","13.999841575 13.987077934 13.849936664 14.017800688 14.236473112 13.988748143 13.982093576 13.853149057 13.828498293","1","The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS","[[]]","0.0","","Linux cutter07 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","710c5e73c5ef9784be2adb2e5bb2cdd4ede91eef","482","","","","","336459600","3054616","","0"
"clustal","nondet","","cutter07","cutter07_1492146725","jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=clustal_nondet,label=CREST_cutter-12","7","2017-04-14 05:12:05.321725 UTC","12.435122323","12.436810582","12.618515471","","92.3","","12.435122323 12.474959241 12.618515471 12.583806863 12.436810582 12.441332932 12.561600282 12.446654936 12.449747639","1","The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS","[[]]","0.0","","Linux cutter07 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","710c5e73c5ef9784be2adb2e5bb2cdd4ede91eef","482","","","","","417036750","3152736","","0"
"clustal","nondet","","cutter07","cutter07_1492146725","jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=clustal_nondet,label=CREST_cutter-12","8","2017-04-14 05:12:05.321725 UTC","11.173679055","11.306015371","11.494398729","","78.8","","11.232414489 11.244961736 11.494398729 11.305696055 11.306015371 11.19762934 11.173679055 11.275544927 11.211540081","1","The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS","[[]]","0.0","","Linux cutter07 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","710c5e73c5ef9784be2adb2e5bb2cdd4ede91eef","482","","","","","397800480","3273440","","0"
"clustal","nondet","","cutter07","cutter07_1492146725","jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=clustal_nondet,label=CREST_cutter-12","9","2017-04-14 05:12:05.321725 UTC","10.260506772","10.387663929","10.465244174","","86.2","","10.441111945 10.387889168 10.446300462 10.442426387 10.387663929 10.424850894 10.346280104 10.465244174 10.260506772","1","The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS","[[]]","0.0","","Linux cutter07 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","710c5e73c5ef9784be2adb2e5bb2cdd4ede91eef","482","","","","","395929920","3505320","","0"
"clustal","nondet","","cutter07","cutter07_1492146725","jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=clustal_nondet,label=CREST_cutter-12","10","2017-04-14 05:12:05.321725 UTC","9.807806483","9.807806483","10.128317459","","92.3","","9.936680134 9.846463716 9.947993002 9.942406304 9.807806483 10.128317459 9.861165174 9.849082933 9.856829846","1","The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS","[[]]","0.0","","Linux cutter07 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","710c5e73c5ef9784be2adb2e5bb2cdd4ede91eef","482","","","","","411020000","3679536","","0"
"clustal","nondet","","cutter07","cutter07_1492146725","jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=clustal_nondet,label=CREST_cutter-12","11","2017-04-14 05:12:05.321725 UTC","9.314019705","9.338209173","9.482148007","","82.8","","9.353804182 9.432611621 9.350038947 9.314019705 9.338209173 9.388480191 9.482148007 9.342969139 9.402833582","1","The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS","[[]]","0.0","","Linux cutter07 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","710c5e73c5ef9784be2adb2e5bb2cdd4ede91eef","482","","","","","410053333","3779800","","0"
"clustal","nondet","","cutter07","cutter07_1492146725","jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=clustal_nondet,label=CREST_cutter-12","12","2017-04-14 05:12:05.321725 UTC","9.321433032","9.324420861","9.405533501","","90.9","","9.366229132 9.321433032 9.323324181 9.405533501 9.324420861 9.366953833 9.330070207 9.347625131 9.364897266","1","The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS","[[]]","0.0","","Linux cutter07 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","710c5e73c5ef9784be2adb2e5bb2cdd4ede91eef","482","","","","","328061000","3854184","","0"
