PROGNAME,VARIANT,ARGS,HOSTNAME,RUNID,CI_BUILD_ID,THREADS,DATETIME,MINTIME,MEDIANTIME,MAXTIME,MINTIME_PRODUCTIVITY,MEDIANTIME_PRODUCTIVITY,MAXTIME_PRODUCTIVITY,ALLTIMES,TRIALS,COMPILER,COMPILE_FLAGS,RUNTIME_FLAGS,ENV_VARS,BENCH_VERSION,BENCH_FILE,UNAME,PROCESSOR,TOPOLOGY,GIT_BRANCH,GIT_HASH,GIT_DEPTH,WHO,ETC_ISSUE,LSPCI,FULL_LOG,MEDIANTIME_ALLOCRATE,MEDIANTIME_MEMFOOTPRINT,ALLJITTIMES,RETRIES
"clustal","det_ld_preload","","cutter01","cutter01_1492227310","jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=clustal_det_ld_preload,label=CREST_cutter-13","1","2017-04-15 03:35:10.331656 UTC","64.217820377","64.524720262","65.76642254","","88.8","","65.76642254 65.069479227 65.113430799 64.656906467 64.524720262 64.485043573 64.505968331 64.981232961 64.217820377","1","The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS","[[]]","0.0","","Linux cutter01 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","87d7cf9be339c9b21f0097fd6dc96c84eae04db4","488","","","","","232895774","8699216","","0"
"clustal","det_ld_preload","","cutter01","cutter01_1492227310","jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=clustal_det_ld_preload,label=CREST_cutter-13","2","2017-04-15 03:35:10.331656 UTC","33.171038733","33.551902133","34.229671004","","81.6","","33.213941664 33.349467161 33.171038733 33.562527746 33.551902133 33.741116822 33.773059503 33.821337012 34.229671004","1","The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS","[[]]","0.0","","Linux cutter01 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","87d7cf9be339c9b21f0097fd6dc96c84eae04db4","488","","","","","403538358","9680224","","0"
"clustal","det_ld_preload","","cutter01","cutter01_1492227310","jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=clustal_det_ld_preload,label=CREST_cutter-13","3","2017-04-15 03:35:10.331656 UTC","23.006767309","23.204881362","23.335032987","","74.6","","23.286549798 23.025710374 23.006767309 23.188604144 23.204881362 23.198909024 23.335032987 23.155798557 23.299613507","1","The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS","[[]]","0.0","","Linux cutter01 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","87d7cf9be339c9b21f0097fd6dc96c84eae04db4","488","","","","","595432038","9743160","","0"
"clustal","det_ld_preload","","cutter01","cutter01_1492227310","jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=clustal_det_ld_preload,label=CREST_cutter-13","4","2017-04-15 03:35:10.331656 UTC","18.211203106","18.26777921","18.402204379","","73.3","","18.265434131 18.211203106 18.327968065 18.222742395 18.26777921 18.307779417 18.402204379 18.32011901 18.262306719","1","The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS","[[]]","0.0","","Linux cutter01 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","87d7cf9be339c9b21f0097fd6dc96c84eae04db4","488","","","","","558081381","10506576","","0"
"clustal","det_ld_preload","","cutter01","cutter01_1492227310","jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=clustal_det_ld_preload,label=CREST_cutter-13","5","2017-04-15 03:35:10.331656 UTC","15.757774047","15.761123187","16.124354128","","76.1","","15.865130799 15.757774047 15.861829699 15.84789189 15.761123187 15.839486248 15.833552129 16.124354128 15.864940322","1","The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS","[[]]","0.0","","Linux cutter01 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","87d7cf9be339c9b21f0097fd6dc96c84eae04db4","488","","","","","578226566","10391184","","0"
"clustal","det_ld_preload","","cutter01","cutter01_1492227310","jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=clustal_det_ld_preload,label=CREST_cutter-13","6","2017-04-15 03:35:10.331656 UTC","14.053095171","14.157026004","14.383471966","","73.2","","14.276694153 14.174921972 14.053095171 14.328345785 14.157026004 14.278988211 14.191673406 14.173897035 14.383471966","1","The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS","[[]]","0.0","","Linux cutter01 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","87d7cf9be339c9b21f0097fd6dc96c84eae04db4","488","","","","","588269961","11273816","","0"
"clustal","det_ld_preload","","cutter01","cutter01_1492227310","jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=clustal_det_ld_preload,label=CREST_cutter-13","7","2017-04-15 03:35:10.331656 UTC","12.592605738","12.737406297","12.887471307","","77.0","","12.733172705 12.592605738 12.621040247 12.752129176 12.737406297 12.679433478 12.671774264 12.887471307 12.601747419","1","The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS","[[]]","0.0","","Linux cutter01 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","87d7cf9be339c9b21f0097fd6dc96c84eae04db4","488","","","","","664184956","11108856","","0"
"clustal","det_ld_preload","","cutter01","cutter01_1492227310","jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=clustal_det_ld_preload,label=CREST_cutter-13","8","2017-04-15 03:35:10.331656 UTC","11.332443604","11.332443604","11.754538266","","64.2","","11.754538266 11.581438474 11.470265684 11.37701579 11.332443604 11.603203869 11.483950099 11.427398445 11.416561273","1","The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS","[[]]","0.0","","Linux cutter01 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","87d7cf9be339c9b21f0097fd6dc96c84eae04db4","488","","","","","924139030","10009720","","0"
"clustal","det_ld_preload","","cutter01","cutter01_1492227310","jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=clustal_det_ld_preload,label=CREST_cutter-13","9","2017-04-15 03:35:10.331656 UTC","10.420900865","10.494477962","10.896450841","","76.4","","10.486497053 10.896450841 10.454092465 10.420900865 10.494477962 10.438718048 10.483573582 10.438594765 10.457208119","1","The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS","[[]]","0.0","","Linux cutter01 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","87d7cf9be339c9b21f0097fd6dc96c84eae04db4","488","","","","","724952952","10229920","","0"
"clustal","det_ld_preload","","cutter01","cutter01_1492227310","jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=clustal_det_ld_preload,label=CREST_cutter-13","10","2017-04-15 03:35:10.331656 UTC","9.898520115","9.989513067","10.294011207","","78.2","","10.101105121 10.092077111 10.01326682 10.294011207 9.989513067 10.040821626 9.898520115 9.976724753 10.053824244","1","The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS","[[]]","0.0","","Linux cutter01 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","87d7cf9be339c9b21f0097fd6dc96c84eae04db4","488","","","","","709700558","11399272","","0"
