PROGNAME,VARIANT,ARGS,HOSTNAME,RUNID,CI_BUILD_ID,THREADS,DATETIME,MINTIME,MEDIANTIME,MAXTIME,MINTIME_PRODUCTIVITY,MEDIANTIME_PRODUCTIVITY,MAXTIME_PRODUCTIVITY,ALLTIMES,TRIALS,COMPILER,COMPILE_FLAGS,RUNTIME_FLAGS,ENV_VARS,BENCH_VERSION,BENCH_FILE,UNAME,PROCESSOR,TOPOLOGY,GIT_BRANCH,GIT_HASH,GIT_DEPTH,WHO,ETC_ISSUE,LSPCI,FULL_LOG,MEDIANTIME_ALLOCRATE,MEDIANTIME_MEMFOOTPRINT,ALLJITTIMES,RETRIES
raxml,det_ld_preload,,cutter09,cutter09_1492459655,"jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=raxml_det_ld_preload,THREADSETTINGS=12,label=CREST_cutter-24",12,"2017-04-17 20:07:35.245665 UTC",12.951422231,12.951422231,12.951422231,,81.9,,12.951422231,9,"The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS",[[]],0.0,,"Linux cutter09 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux",,Nothing,remotes/origin/master,32ed5c0d52c0164b940158d61543a257a747fd4a,528,,,,,189047934,76212072,,0
raxml,det_ld_preload,,cutter08,cutter08_1492459692,"jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=raxml_det_ld_preload,THREADSETTINGS=10,label=CREST_cutter-24",10,"2017-04-17 20:08:11.9379 UTC",15.104148414,15.104148414,15.104148414,,83.3,,15.104148414,9,"The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS",[[]],0.0,,"Linux cutter08 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux",,Nothing,remotes/origin/master,32ed5c0d52c0164b940158d61543a257a747fd4a,528,,,,,142726380,87271104,,0
raxml,det_ld_preload,,cutter08,cutter08_1492459566,"jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=raxml_det_ld_preload,THREADSETTINGS=15,label=CREST_cutter-24",15,"2017-04-17 20:06:06.065219 UTC",11.036385328,11.036385328,11.036385328,,79.7,,11.036385328,9,"The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS",[[]],0.0,,"Linux cutter08 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux",,Nothing,remotes/origin/master,32ed5c0d52c0164b940158d61543a257a747fd4a,528,,,,,230582294,81132312,,0
raxml,det_ld_preload,,cutter03,cutter03_1492459298,"jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=raxml_det_ld_preload,THREADSETTINGS=16,label=CREST_cutter-24",16,"2017-04-17 20:01:37.849111 UTC",63.696857399,63.696857399,63.696857399,,79.2,,63.696857399,9,"The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS",[[]],0.0,,"Linux cutter03 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux",,Nothing,remotes/origin/master,32ed5c0d52c0164b940158d61543a257a747fd4a,528,,,,,212256225,79016096,,0
raxml,det_ld_preload,,cutter04,cutter04_1492459358,"jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=raxml_det_ld_preload,THREADSETTINGS=13,label=CREST_cutter-24",13,"2017-04-17 20:02:37.815406 UTC",50.426282681,50.426282681,50.426282681,,81.4,,50.426282681,9,"The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS",[[]],0.0,,"Linux cutter04 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux",,Nothing,remotes/origin/master,32ed5c0d52c0164b940158d61543a257a747fd4a,528,,,,,190536991,78663832,,0
raxml,det_ld_preload,,cutter02,cutter02_1492459804,"jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=raxml_det_ld_preload,THREADSETTINGS=11,label=CREST_cutter-25",11,"2017-04-17 20:10:04.161575 UTC",11.541756031,11.541756031,11.541756031,,79.7,,11.541756031,9,"The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS",[[]],0.0,,"Linux cutter02 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux",,Nothing,remotes/origin/master,32ed5c0d52c0164b940158d61543a257a747fd4a,528,,,,,210127783,85651920,,0
raxml,det_ld_preload,,cutter02,cutter02_1492459511,"jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=raxml_det_ld_preload,THREADSETTINGS=3,label=CREST_cutter-24",3,"2017-04-17 20:05:11.432886 UTC",36.836342621,36.836342621,36.836342621,,80.8,,36.836342621,9,"The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS",[[]],0.0,,"Linux cutter02 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux",,Nothing,remotes/origin/master,32ed5c0d52c0164b940158d61543a257a747fd4a,528,,,,,76470013,76895320,,0
raxml,det_ld_preload,,cutter02,cutter02_1492459668,"jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=raxml_det_ld_preload,THREADSETTINGS=4,label=CREST_cutter-24",4,"2017-04-17 20:07:48.280331 UTC",46.200498806,46.200498806,46.200498806,,80.3,,46.200498806,9,"The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS",[[]],0.0,,"Linux cutter02 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux",,Nothing,remotes/origin/master,32ed5c0d52c0164b940158d61543a257a747fd4a,528,,,,,95208272,81821864,,0
raxml,det_ld_preload,,cutter03,cutter03_1492459460,"jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=raxml_det_ld_preload,THREADSETTINGS=5,label=CREST_cutter-24",5,"2017-04-17 20:04:19.924823 UTC",16.512000087,16.512000087,16.512000087,,79.7,,16.512000087,9,"The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS",[[]],0.0,,"Linux cutter03 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux",,Nothing,remotes/origin/master,32ed5c0d52c0164b940158d61543a257a747fd4a,528,,,,,149917745,78647744,,0
raxml,det_ld_preload,,cutter02,cutter02_1492459334,"jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=raxml_det_ld_preload,THREADSETTINGS=1,label=CREST_cutter-24",1,"2017-04-17 20:02:13.622532 UTC",100.197468464,100.197468464,100.197468464,,66.9,,100.197468464,9,"The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS",[[]],0.0,,"Linux cutter02 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux",,Nothing,remotes/origin/master,32ed5c0d52c0164b940158d61543a257a747fd4a,528,,,,,47363495,83668736,,0
