PROGNAME,VARIANT,ARGS,HOSTNAME,RUNID,CI_BUILD_ID,THREADS,DATETIME,MINTIME,MEDIANTIME,MAXTIME,MINTIME_PRODUCTIVITY,MEDIANTIME_PRODUCTIVITY,MAXTIME_PRODUCTIVITY,ALLTIMES,TRIALS,COMPILER,COMPILE_FLAGS,RUNTIME_FLAGS,ENV_VARS,BENCH_VERSION,BENCH_FILE,UNAME,PROCESSOR,TOPOLOGY,GIT_BRANCH,GIT_HASH,GIT_DEPTH,WHO,ETC_ISSUE,LSPCI,FULL_LOG,MEDIANTIME_ALLOCRATE,MEDIANTIME_MEMFOOTPRINT,ALLJITTIMES,RETRIES
raxml,det_ld_preload,,cutter16,cutter16_1492465870,"jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=raxml_det_ld_preload,THREADSETTINGS=12,label=CREST_cutter-29",12,"2017-04-17 21:51:09.657219 UTC",11.403999107,24.322810466,459.694932787,,78.0,,"20.788838402 27.313840065 28.509728192 19.555967356 24.322810466 459.694932787 11.403999107 11.987247741 12.615377591",9,"The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS",[[]],0.0,,"Linux cutter16 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux",,Nothing,remotes/origin/master,05d894a79df775b4a09c95338514748fa3a7bd36,530,,,,,227655224,84114472,,0
raxml,det_ld_preload,,cutter12,cutter12_1492465479,"jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=raxml_det_ld_preload,THREADSETTINGS=10,label=CREST_cutter-29",10,"2017-04-17 21:44:38.784008 UTC",12.996069387,23.580855474,28.05810148,,82.3,,"20.810473244 24.855608772 22.472699487 28.05810148 23.580855474 18.622229675 15.586845253 14.665144908 12.996069387",9,"The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS",[[]],0.0,,"Linux cutter12 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux",,Nothing,remotes/origin/master,05d894a79df775b4a09c95338514748fa3a7bd36,530,,,,,185689451,77460544,,0
raxml,det_ld_preload,,cutter12,cutter12_1492464977,"jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=raxml_det_ld_preload,THREADSETTINGS=15,label=CREST_cutter-29",15,"2017-04-17 21:36:16.680617 UTC",14.803314753,22.362080043,36.454673869,,80.6,,"17.303507372 14.803314753 18.00821114 18.560610411 22.362080043 17.870620739 18.177615081 36.454673869 28.149351784",9,"The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS",[[]],0.0,,"Linux cutter12 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux",,Nothing,remotes/origin/master,05d894a79df775b4a09c95338514748fa3a7bd36,530,,,,,182771059,81619936,,0
raxml,det_ld_preload,,cutter08,cutter08_1492464079,"jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=raxml_det_ld_preload,THREADSETTINGS=16,label=CREST_cutter-29",16,"2017-04-17 21:21:18.682681 UTC",13.922728655,17.865412104,34.969435033,,81.5,,"13.922728655 22.550280118 16.699713087 15.558889702 17.865412104 19.591681177 16.590036111 34.969435033 31.653217405",9,"The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS",[[]],0.0,,"Linux cutter08 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux",,Nothing,remotes/origin/master,05d894a79df775b4a09c95338514748fa3a7bd36,530,,,,,182962910,78831944,,0
raxml,det_ld_preload,,cutter12,cutter12_1492464278,"jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=raxml_det_ld_preload,THREADSETTINGS=13,label=CREST_cutter-29",13,"2017-04-17 21:24:38.161733 UTC",11.368133636,14.311545017,203.035379123,,76.6,,"203.035379123 34.280489909 23.435511071 23.687376635 14.311545017 17.763095751 11.368133636 13.567216444 16.877068946",9,"The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS",[[]],0.0,,"Linux cutter12 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux",,Nothing,remotes/origin/master,05d894a79df775b4a09c95338514748fa3a7bd36,530,,,,,195635068,83689856,,0
raxml,det_ld_preload,,cutter14,cutter14_1492464151,"jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=raxml_det_ld_preload,THREADSETTINGS=11,label=CREST_cutter-29",11,"2017-04-17 21:22:30.938724 UTC",13.79670307,16.719191592,29.767926609,,81.8,,"18.580909193 19.154945449 13.79670307 21.727031363 16.719191592 18.4768546 29.767926609 21.350188035 18.983332958",9,"The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS",[[]],0.0,,"Linux cutter14 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux",,Nothing,remotes/origin/master,05d894a79df775b4a09c95338514748fa3a7bd36,530,,,,,159145859,79921640,,0
raxml,det_ld_preload,,cutter14,cutter14_1492465081,"jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=raxml_det_ld_preload,THREADSETTINGS=3,label=CREST_cutter-29",3,"2017-04-17 21:38:01.168425 UTC",44.623228521,48.658474618,78.984313031,,80.4,,"44.623228521 45.291406226 55.467811713 56.159261722 48.658474618 63.785066938 53.494160158 74.015954156 78.984313031",9,"The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS",[[]],0.0,,"Linux cutter14 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux",,Nothing,remotes/origin/master,05d894a79df775b4a09c95338514748fa3a7bd36,530,,,,,70909370,79754544,,0
raxml,det_ld_preload,,cutter09,cutter09_1492465551,"jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=raxml_det_ld_preload,THREADSETTINGS=4,label=CREST_cutter-29",4,"2017-04-17 21:45:51.019266 UTC",23.693732434,43.62337768,68.318473028,,80.3,,"68.318473028 59.661303051 43.444735551 42.939566007 43.62337768 32.668250426 26.355928793 31.877446338 23.693732434",9,"The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS",[[]],0.0,,"Linux cutter09 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux",,Nothing,remotes/origin/master,05d894a79df775b4a09c95338514748fa3a7bd36,530,,,,,112937022,84090224,,0
raxml,det_ld_preload,,cutter05,cutter05_1492464758,"jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=raxml_det_ld_preload,THREADSETTINGS=5,label=CREST_cutter-29",5,"2017-04-17 21:32:37.731035 UTC",22.745526303,37.325662206,40.403074573,,78.5,,"24.516960316 22.745526303 28.190774112 23.940281479 37.325662206 38.651636816 30.52705241 40.403074573 35.03499244",9,"The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS",[[]],0.0,,"Linux cutter05 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux",,Nothing,remotes/origin/master,05d894a79df775b4a09c95338514748fa3a7bd36,530,,,,,148535046,84263152,,0
raxml,det_ld_preload,,cutter15,cutter15_1492465566,"jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=raxml_det_ld_preload,THREADSETTINGS=1,label=CREST_cutter-29",1,"2017-04-17 21:46:05.925318 UTC",111.906216084,196.973982072,233.429151907,,70.1,,"163.82858867 214.390527353 139.355223721 141.571293482 196.973982072 233.429151907 230.383245069 186.481890322 111.906216084",9,"The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS",[[]],0.0,,"Linux cutter15 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux",,Nothing,remotes/origin/master,05d894a79df775b4a09c95338514748fa3a7bd36,530,,,,,47235222,82726848,,0
