PROGNAME,VARIANT,ARGS,HOSTNAME,RUNID,CI_BUILD_ID,THREADS,DATETIME,MINTIME,MEDIANTIME,MAXTIME,MINTIME_PRODUCTIVITY,MEDIANTIME_PRODUCTIVITY,MAXTIME_PRODUCTIVITY,ALLTIMES,TRIALS,COMPILER,COMPILE_FLAGS,RUNTIME_FLAGS,ENV_VARS,BENCH_VERSION,BENCH_FILE,UNAME,PROCESSOR,TOPOLOGY,GIT_BRANCH,GIT_HASH,GIT_DEPTH,WHO,ETC_ISSUE,LSPCI,FULL_LOG,MEDIANTIME_ALLOCRATE,MEDIANTIME_MEMFOOTPRINT,ALLJITTIMES,RETRIES
raxml,det_ld_preload,,cutter05,cutter05_1492492545,"jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=raxml,THREADSETTINGS=10,label=CREST_cutter-49",10,"2017-04-18 05:15:44.871489 UTC",4.308470046,4.707042817,5.167548499,,82.2,,"5.167548499 4.691759169 4.360619277 4.509825846 4.707042817 4.308470046 4.602395941 4.57758765 4.352368562",9,"The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS",[[]],0.0,,"Linux cutter05 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux",,Nothing,remotes/origin/master,2a804bf126d082b28cfdca5f79298cb394f8958e,542,,,,,310852093,64059344,,0
raxml,det_ld_preload,,cutter15,cutter15_1492492522,"jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=raxml,THREADSETTINGS=11,label=CREST_cutter-49",11,"2017-04-18 05:15:21.554815 UTC",3.705930555,4.490148472,4.49577109,,80.7,,"4.49577109 4.315954316 3.827807502 4.143306392 4.490148472 4.490117048 3.90418351 3.705930555 4.158260917",9,"The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS",[[]],0.0,,"Linux cutter15 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux",,Nothing,remotes/origin/master,2a804bf126d082b28cfdca5f79298cb394f8958e,542,,,,,343492946,57694264,,0
raxml,det_ld_preload,,cutter14,cutter14_1492492524,"jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=raxml,THREADSETTINGS=12,label=CREST_cutter-49",12,"2017-04-18 05:15:23.994338 UTC",3.595117167,5.568407216,6.083451539,,78.5,,"3.595117167 3.65409769 6.083451539 3.936959229 5.568407216 4.44157598 4.167781789 4.123283305 3.688809125",9,"The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS",[[]],0.0,,"Linux cutter14 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux",,Nothing,remotes/origin/master,2a804bf126d082b28cfdca5f79298cb394f8958e,542,,,,,373754784,62789400,,0
raxml,det_ld_preload,,cutter13,cutter13_1492492509,"jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=raxml,THREADSETTINGS=13,label=CREST_cutter-49",13,"2017-04-18 05:15:08.99415 UTC",3.175994417,3.660003258,4.457751325,,80.3,,"4.230593903 3.358034331 3.587407077 3.424060349 3.660003258 3.531377306 4.457751325 3.175994417 3.43389697",9,"The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS",[[]],0.0,,"Linux cutter13 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux",,Nothing,remotes/origin/master,2a804bf126d082b28cfdca5f79298cb394f8958e,542,,,,,402384674,59291040,,0
raxml,det_ld_preload,,cutter08,cutter08_1492492728,"jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=raxml,THREADSETTINGS=14,label=CREST_cutter-49",14,"2017-04-18 05:18:48.017869 UTC",3.140793268,3.294614675,4.86271725,,77.6,,"3.175713383 3.528708764 3.436485827 3.438350408 3.294614675 4.86271725 3.140793268 3.235511748 3.77023029",9,"The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS",[[]],0.0,,"Linux cutter08 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux",,Nothing,remotes/origin/master,2a804bf126d082b28cfdca5f79298cb394f8958e,542,,,,,393668450,62810392,,0
raxml,det_ld_preload,,cutter07,cutter07_1492492741,"jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=raxml,THREADSETTINGS=15,label=CREST_cutter-49",15,"2017-04-18 05:19:00.611119 UTC",2.922683744,3.003208408,3.23933325,,73.0,,"3.163270272 2.97920054 2.923467654 3.02243875 3.003208408 2.936708143 2.922683744 3.025587379 3.23933325",9,"The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS",[[]],0.0,,"Linux cutter07 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux",,Nothing,remotes/origin/master,2a804bf126d082b28cfdca5f79298cb394f8958e,542,,,,,485760349,63268520,,0
raxml,det_ld_preload,,cutter08,cutter08_1492492505,"jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=raxml,THREADSETTINGS=16,label=CREST_cutter-49",16,"2017-04-18 05:15:05.306093 UTC",2.272585134,2.787316146,5.313018949,,84.0,,"2.493171511 5.313018949 2.514810299 2.504616752 2.787316146 2.443887586 2.526097594 2.272585134 3.458985105",9,"The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS",[[]],0.0,,"Linux cutter08 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux",,Nothing,remotes/origin/master,2a804bf126d082b28cfdca5f79298cb394f8958e,542,,,,,384363911,55983464,,0
raxml,det_ld_preload,,cutter12,cutter12_1492493208,"jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=raxml,THREADSETTINGS=1,label=CREST_cutter-49",1,"2017-04-18 05:26:47.975935 UTC",43.160274329,47.011831055,48.953319625,,88.3,,"43.160274329 44.698260487 47.861634475 45.898601319 47.011831055 46.406655469 48.953319625 46.931367123 44.101437196",9,"The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS",[[]],0.0,,"Linux cutter12 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux",,Nothing,remotes/origin/master,2a804bf126d082b28cfdca5f79298cb394f8958e,542,,,,,40778283,65220544,,0
raxml,det_ld_preload,,cutter03,cutter03_1492493098,"jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=raxml,THREADSETTINGS=2,label=CREST_cutter-49",2,"2017-04-18 05:24:58.330425 UTC",22.84567875,27.537275692,28.093754546,,90.5,,"28.093754546 27.060376565 26.160979752 27.325923485 27.537275692 26.913731796 22.84567875 27.841260136 25.692521244",9,"The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS",[[]],0.0,,"Linux cutter03 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux",,Nothing,remotes/origin/master,2a804bf126d082b28cfdca5f79298cb394f8958e,542,,,,,63343294,67117400,,0
raxml,det_ld_preload,,cutter10,cutter10_1492492912,"jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=raxml,THREADSETTINGS=3,label=CREST_cutter-49",3,"2017-04-18 05:21:51.743623 UTC",14.292650966,16.291592956,16.291592956,,89.0,,"15.225555111 14.59441918 14.928485076 15.16486597 16.291592956 16.026100783 16.229681671 14.292650966 15.721499607",9,"The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS",[[]],0.0,,"Linux cutter10 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux",,Nothing,remotes/origin/master,2a804bf126d082b28cfdca5f79298cb394f8958e,542,,,,,80375632,70347040,,0
