PROGNAME,VARIANT,ARGS,HOSTNAME,RUNID,CI_BUILD_ID,THREADS,DATETIME,MINTIME,MEDIANTIME,MAXTIME,MINTIME_PRODUCTIVITY,MEDIANTIME_PRODUCTIVITY,MAXTIME_PRODUCTIVITY,ALLTIMES,TRIALS,COMPILER,COMPILE_FLAGS,RUNTIME_FLAGS,ENV_VARS,BENCH_VERSION,BENCH_FILE,UNAME,PROCESSOR,TOPOLOGY,GIT_BRANCH,GIT_HASH,GIT_DEPTH,WHO,ETC_ISSUE,LSPCI,FULL_LOG,MEDIANTIME_ALLOCRATE,MEDIANTIME_MEMFOOTPRINT,ALLJITTIMES,RETRIES
"bwa","nondet","","cutter01","cutter01_1492101520","jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=bwa,label=CREST_cutter-6","1","2017-04-13 16:38:40.463635 UTC","38.79534331","39.649416437","39.649416437","","100.0","","39.454493859 39.573282227 39.344807684 38.989870192 39.649416437 39.500236295 38.79534331 39.548370118 39.286287723","1","The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2","+RTS -s -RTS","[[]]","0.0","","Linux cutter01 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","master~6^2~1","94956e26d3bd6bad46568cb5b765db9595c85834","416","","","","","169258250","1064480","","0"
"bwa","nondet","","cutter01","cutter01_1492101520","jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=bwa,label=CREST_cutter-6","2","2017-04-13 16:38:40.463635 UTC","17.865303333","18.064525939","18.342716101","","100.0","","17.966378227 18.171632285 18.188007587 18.019958614 18.064525939 17.865303333 18.342716101 18.167403385 18.215911751","1","The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2","+RTS -s -RTS","[[]]","0.0","","Linux cutter01 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","master~6^2~1","94956e26d3bd6bad46568cb5b765db9595c85834","416","","","","","239170727","1014896","","0"
"bwa","nondet","","cutter01","cutter01_1492101520","jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=bwa,label=CREST_cutter-6","3","2017-04-13 16:38:40.463635 UTC","12.184382065","12.400693624","12.472839749","","90.0","","12.457937078 12.376078624 12.301341892 12.472839749 12.400693624 12.273254437 12.202147484 12.184382065 12.384226252","1","The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2","+RTS -s -RTS","[[]]","0.0","","Linux cutter01 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","master~6^2~1","94956e26d3bd6bad46568cb5b765db9595c85834","416","","","","","289675111","1538224","","0"
"bwa","nondet","","cutter01","cutter01_1492101520","jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=bwa,label=CREST_cutter-6","4","2017-04-13 16:38:40.463635 UTC","9.075600206","9.110579093","9.246050462","","100.0","","9.246050462 9.075600206 9.165426322 9.078585791 9.110579093 9.136709143 9.12917963 9.181530431 9.128383686","1","The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2","+RTS -s -RTS","[[]]","0.0","","Linux cutter01 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","master~6^2~1","94956e26d3bd6bad46568cb5b765db9595c85834","416","","","","","370732000","1613832","","0"
"bwa","nondet","","cutter01","cutter01_1492101520","jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=bwa,label=CREST_cutter-6","5","2017-04-13 16:38:40.463635 UTC","8.007160141","8.267631294","8.328094586","","80.0","","8.273892404 8.246220077 8.151500737 8.007160141 8.267631294 8.149677803 8.236327077 8.198246916 8.328094586","1","The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2","+RTS -s -RTS","[[]]","0.0","","Linux cutter01 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","master~6^2~1","94956e26d3bd6bad46568cb5b765db9595c85834","416","","","","","648629000","1670840","","0"
"bwa","nondet","","cutter01","cutter01_1492101520","jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=bwa,label=CREST_cutter-6","6","2017-04-13 16:38:40.463635 UTC","7.112596604","7.129812934","7.235575814","","85.7","","7.176093574 7.112596604 7.131012821 7.200653751 7.129812934 7.136988007 7.225162091 7.235575814 7.18622576","1","The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2","+RTS -s -RTS","[[]]","0.0","","Linux cutter01 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","master~6^2~1","94956e26d3bd6bad46568cb5b765db9595c85834","416","","","","","431689666","1701888","","0"
"bwa","nondet","","cutter01","cutter01_1492101520","jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=bwa,label=CREST_cutter-6","7","2017-04-13 16:38:40.463635 UTC","6.143062561","6.17686613","6.214106188","","100.0","","6.192391737 6.191404967 6.160596111 6.143062561 6.17686613 6.182135206 6.186534997 6.16437241 6.214106188","1","The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2","+RTS -s -RTS","[[]]","0.0","","Linux cutter01 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","master~6^2~1","94956e26d3bd6bad46568cb5b765db9595c85834","416","","","","","430375000","1783736","","0"
"bwa","nondet","","cutter01","cutter01_1492101520","jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=bwa,label=CREST_cutter-6","8","2017-04-13 16:38:40.463635 UTC","5.017924869","5.138266334","5.139791104","","60.0","","5.097160395 5.134651851 5.017924869 5.031184592 5.138266334 5.113693867 5.117620708 5.138134322 5.139791104","1","The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2","+RTS -s -RTS","[[]]","0.0","","Linux cutter01 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","master~6^2~1","94956e26d3bd6bad46568cb5b765db9595c85834","416","","","","","1288862000","1464880","","0"
"bwa","nondet","","cutter01","cutter01_1492101520","jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=bwa,label=CREST_cutter-6","9","2017-04-13 16:38:40.463635 UTC","5.08444602","5.08444602","5.233349726","","75.0","","5.092556561 5.152305678 5.145122323 5.21851063 5.08444602 5.233349726 5.148886707 5.143872727 5.232773581","1","The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2","+RTS -s -RTS","[[]]","0.0","","Linux cutter01 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","master~6^2~1","94956e26d3bd6bad46568cb5b765db9595c85834","416","","","","","858965333","1474352","","0"
"bwa","nondet","","cutter01","cutter01_1492101520","jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=bwa,label=CREST_cutter-6","10","2017-04-13 16:38:40.463635 UTC","5.29398554","5.29398554","5.446295827","","50.0","","5.391737435 5.303501289 5.41469153 5.446295827 5.29398554 5.398586196 5.328147973 5.395369148 5.413743347","1","The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2","+RTS -s -RTS","[[]]","0.0","","Linux cutter01 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","master~6^2~1","94956e26d3bd6bad46568cb5b765db9595c85834","416","","","","","1289812000","1500504","","0"
