PROGNAME,VARIANT,ARGS,HOSTNAME,RUNID,CI_BUILD_ID,THREADS,DATETIME,MINTIME,MEDIANTIME,MAXTIME,MINTIME_PRODUCTIVITY,MEDIANTIME_PRODUCTIVITY,MAXTIME_PRODUCTIVITY,ALLTIMES,TRIALS,COMPILER,COMPILE_FLAGS,RUNTIME_FLAGS,ENV_VARS,BENCH_VERSION,BENCH_FILE,UNAME,PROCESSOR,TOPOLOGY,GIT_BRANCH,GIT_HASH,GIT_DEPTH,WHO,ETC_ISSUE,LSPCI,FULL_LOG,MEDIANTIME_ALLOCRATE,MEDIANTIME_MEMFOOTPRINT,ALLJITTIMES,RETRIES
"06_splash/apps/raytrace","det_ld_preload","","cutter11","cutter11_1492143245","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-apps-raytrace,label=CREST_cutter-24","1","2017-04-14 04:14:05.23591 UTC","2.722465","3.798163","3.822926","","","","2.722465 3.822926 3.814951 3.579482 3.798163 3.477965 3.811333 3.669311 3.721349","1","","","","[[]]","0.0","","Linux cutter11 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","710c5e73c5ef9784be2adb2e5bb2cdd4ede91eef","482","","","","","","","","0"
"06_splash/apps/raytrace","det_ld_preload","","cutter11","cutter11_1492143245","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-apps-raytrace,label=CREST_cutter-24","2","2017-04-14 04:14:05.23591 UTC","1.770675","1.922758","1.958544","","","","1.891178 1.954342 1.770675 1.784896 1.922758 1.932073 1.934606 1.958544 1.854912","1","","","","[[]]","0.0","","Linux cutter11 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","710c5e73c5ef9784be2adb2e5bb2cdd4ede91eef","482","","","","","","","","0"
"06_splash/apps/raytrace","det_ld_preload","","cutter11","cutter11_1492143245","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-apps-raytrace,label=CREST_cutter-24","3","2017-04-14 04:14:05.23591 UTC","1.028448","1.028448","1.536055","","","","1.121798 1.161554 1.155881 1.108083 1.028448 1.536055 1.127858 1.190322 1.169904","1","","","","[[]]","0.0","","Linux cutter11 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","710c5e73c5ef9784be2adb2e5bb2cdd4ede91eef","482","","","","","","","","0"
"06_splash/apps/raytrace","det_ld_preload","","cutter11","cutter11_1492143245","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-apps-raytrace,label=CREST_cutter-24","4","2017-04-14 04:14:05.23591 UTC","0.817368","0.817368","0.902665","","","","0.874223 0.866938 0.902665 0.859323 0.817368 0.823027 0.822667 0.891732 0.851104","1","","","","[[]]","0.0","","Linux cutter11 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","710c5e73c5ef9784be2adb2e5bb2cdd4ede91eef","482","","","","","","","","0"
"06_splash/apps/raytrace","det_ld_preload","","cutter11","cutter11_1492143245","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-apps-raytrace,label=CREST_cutter-24","5","2017-04-14 04:14:05.23591 UTC","0.666188","0.763616","0.771709","","","","0.766202 0.694468 0.751421 0.71019 0.763616 0.666188 0.703546 0.771709 0.766978","1","","","","[[]]","0.0","","Linux cutter11 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","710c5e73c5ef9784be2adb2e5bb2cdd4ede91eef","482","","","","","","","","0"
"06_splash/apps/raytrace","det_ld_preload","","cutter11","cutter11_1492143245","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-apps-raytrace,label=CREST_cutter-24","6","2017-04-14 04:14:05.23591 UTC","0.645286","0.645286","0.711127","","","","0.699642 0.658586 0.681664 0.671631 0.645286 0.694914 0.711127 0.670533 0.67735","1","","","","[[]]","0.0","","Linux cutter11 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","710c5e73c5ef9784be2adb2e5bb2cdd4ede91eef","482","","","","","","","","0"
"06_splash/apps/raytrace","det_ld_preload","","cutter11","cutter11_1492143245","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-apps-raytrace,label=CREST_cutter-24","7","2017-04-14 04:14:05.23591 UTC","0.586918","0.646707","0.654306","","","","0.646031 0.651732 0.594979 0.586918 0.646707 0.654306 0.639723 0.642838 0.610436","1","","","","[[]]","0.0","","Linux cutter11 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","710c5e73c5ef9784be2adb2e5bb2cdd4ede91eef","482","","","","","","","","0"
"06_splash/apps/raytrace","det_ld_preload","","cutter11","cutter11_1492143245","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-apps-raytrace,label=CREST_cutter-24","8","2017-04-14 04:14:05.23591 UTC","0.55518","0.642726","0.642726","","","","0.627434 0.55518 0.609601 0.557656 0.642726 0.57273 0.58033 0.631845 0.628454","1","","","","[[]]","0.0","","Linux cutter11 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","710c5e73c5ef9784be2adb2e5bb2cdd4ede91eef","482","","","","","","","","0"
"06_splash/apps/raytrace","det_ld_preload","","cutter11","cutter11_1492143245","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-apps-raytrace,label=CREST_cutter-24","9","2017-04-14 04:14:05.23591 UTC","0.548012","0.979245","0.979245","","","","0.594266 0.611333 0.597562 0.548012 0.979245 0.555352 0.57506 0.579251 0.568243","1","","","","[[]]","0.0","","Linux cutter11 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","710c5e73c5ef9784be2adb2e5bb2cdd4ede91eef","482","","","","","","","","0"
"06_splash/apps/raytrace","det_ld_preload","","cutter11","cutter11_1492143245","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-apps-raytrace,label=CREST_cutter-24","10","2017-04-14 04:14:05.23591 UTC","0.499295","0.549457","0.607183","","","","0.499295 0.520015 0.546809 0.585779 0.549457 0.528909 0.607183 0.521971 0.564014","1","","","","[[]]","0.0","","Linux cutter11 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","710c5e73c5ef9784be2adb2e5bb2cdd4ede91eef","482","","","","","","","","0"
