PROGNAME,VARIANT,ARGS,HOSTNAME,RUNID,CI_BUILD_ID,THREADS,DATETIME,MINTIME,MEDIANTIME,MAXTIME,MINTIME_PRODUCTIVITY,MEDIANTIME_PRODUCTIVITY,MAXTIME_PRODUCTIVITY,ALLTIMES,TRIALS,COMPILER,COMPILE_FLAGS,RUNTIME_FLAGS,ENV_VARS,BENCH_VERSION,BENCH_FILE,UNAME,PROCESSOR,TOPOLOGY,GIT_BRANCH,GIT_HASH,GIT_DEPTH,WHO,ETC_ISSUE,LSPCI,FULL_LOG,MEDIANTIME_ALLOCRATE,MEDIANTIME_MEMFOOTPRINT,ALLJITTIMES,RETRIES
"03_raxml","det_ld_preload","","cutter12","cutter12_1492224518","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=03_raxml,label=CREST_cutter-25","1","2017-04-15 02:48:38.503972 UTC","6.313731","8.067682","8.504198","","","","6.778815 6.313731 8.347641 8.504198 8.067682 8.368612 8.339349 8.221191 8.341285","1","","","","[[]]","0.0","","Linux cutter12 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","87d7cf9be339c9b21f0097fd6dc96c84eae04db4","488","","","","","","","","0"
"03_raxml","det_ld_preload","","cutter12","cutter12_1492224518","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=03_raxml,label=CREST_cutter-25","2","2017-04-15 02:48:38.503972 UTC","4.03397","4.099068","4.420151","","","","4.149632 4.200713 4.099843 4.129127 4.099068 4.079017 4.03397 4.182385 4.420151","1","","","","[[]]","0.0","","Linux cutter12 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","87d7cf9be339c9b21f0097fd6dc96c84eae04db4","488","","","","","","","","0"
"03_raxml","det_ld_preload","","cutter12","cutter12_1492224518","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=03_raxml,label=CREST_cutter-25","3","2017-04-15 02:48:38.503972 UTC","2.277676","2.315087","2.413715","","","","2.390279 2.375198 2.413715 2.351741 2.315087 2.345279 2.277676 2.378081 2.28374","1","","","","[[]]","0.0","","Linux cutter12 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","87d7cf9be339c9b21f0097fd6dc96c84eae04db4","488","","","","","","","","0"
"03_raxml","det_ld_preload","","cutter12","cutter12_1492224518","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=03_raxml,label=CREST_cutter-25","4","2017-04-15 02:48:38.503972 UTC","1.691141","1.696746","1.81415","","","","1.783305 1.727787 1.758856 1.691141 1.696746 1.78067 1.698968 1.739193 1.81415","1","","","","[[]]","0.0","","Linux cutter12 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","87d7cf9be339c9b21f0097fd6dc96c84eae04db4","488","","","","","","","","0"
"03_raxml","det_ld_preload","","cutter12","cutter12_1492224518","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=03_raxml,label=CREST_cutter-25","5","2017-04-15 02:48:38.503972 UTC","1.392515","1.457124","1.537633","","","","1.455696 1.511149 1.460572 1.392515 1.457124 1.441398 1.43414 1.537633 1.446183","1","","","","[[]]","0.0","","Linux cutter12 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","87d7cf9be339c9b21f0097fd6dc96c84eae04db4","488","","","","","","","","0"
"03_raxml","det_ld_preload","","cutter12","cutter12_1492224518","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=03_raxml,label=CREST_cutter-25","6","2017-04-15 02:48:38.503972 UTC","1.21205","1.237412","1.360323","","","","1.230198 1.21205 1.274808 1.257606 1.237412 1.230368 1.256657 1.360323 1.294058","1","","","","[[]]","0.0","","Linux cutter12 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","87d7cf9be339c9b21f0097fd6dc96c84eae04db4","488","","","","","","","","0"
"03_raxml","det_ld_preload","","cutter12","cutter12_1492224518","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=03_raxml,label=CREST_cutter-25","7","2017-04-15 02:48:38.503972 UTC","1.186599","1.237709","1.272698","","","","1.21295 1.206421 1.186599 1.194849 1.237709 1.208663 1.215351 1.272698 1.193041","1","","","","[[]]","0.0","","Linux cutter12 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","87d7cf9be339c9b21f0097fd6dc96c84eae04db4","488","","","","","","","","0"
"03_raxml","det_ld_preload","","cutter12","cutter12_1492224518","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=03_raxml,label=CREST_cutter-25","8","2017-04-15 02:48:38.503972 UTC","1.196646","1.235937","1.247464","","","","1.196646 1.223464 1.247464 1.220051 1.235937 1.233507 1.2139 1.228693 1.220574","1","","","","[[]]","0.0","","Linux cutter12 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","87d7cf9be339c9b21f0097fd6dc96c84eae04db4","488","","","","","","","","0"
"03_raxml","det_ld_preload","","cutter12","cutter12_1492224518","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=03_raxml,label=CREST_cutter-25","9","2017-04-15 02:48:38.503972 UTC","1.179394","1.227004","1.246768","","","","1.219336 1.179394 1.213871 1.238221 1.227004 1.212335 1.230122 1.246768 1.206089","1","","","","[[]]","0.0","","Linux cutter12 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","87d7cf9be339c9b21f0097fd6dc96c84eae04db4","488","","","","","","","","0"
"03_raxml","det_ld_preload","","cutter12","cutter12_1492224518","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=03_raxml,label=CREST_cutter-25","10","2017-04-15 02:48:38.503972 UTC","1.181435","1.230899","1.243332","","","","1.234097 1.238047 1.224077 1.239323 1.230899 1.216145 1.212409 1.243332 1.181435","1","","","","[[]]","0.0","","Linux cutter12 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","87d7cf9be339c9b21f0097fd6dc96c84eae04db4","488","","","","","","","","0"
