PROGNAME,VARIANT,ARGS,HOSTNAME,RUNID,CI_BUILD_ID,THREADS,DATETIME,MINTIME,MEDIANTIME,MAXTIME,MINTIME_PRODUCTIVITY,MEDIANTIME_PRODUCTIVITY,MAXTIME_PRODUCTIVITY,ALLTIMES,TRIALS,COMPILER,COMPILE_FLAGS,RUNTIME_FLAGS,ENV_VARS,BENCH_VERSION,BENCH_FILE,UNAME,PROCESSOR,TOPOLOGY,GIT_BRANCH,GIT_HASH,GIT_DEPTH,WHO,ETC_ISSUE,LSPCI,FULL_LOG,MEDIANTIME_ALLOCRATE,MEDIANTIME_MEMFOOTPRINT,ALLJITTIMES,RETRIES
"01_dummy_build","det_ld_preload","","cutter08","cutter08_1492453911","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=01_dummy_build,label=CREST_cutter-31","1","2017-04-17 18:31:51.547486 UTC","4.40696","6.8014585","4.680897","","","","4.414845 4.680897 4.52081 4.52307 4.419831 4.565557 4.553989 4.57769 4.533174 4.565646 4.577206 4.583142 4.50463 4.576284 4.500845 4.551036 4.607626 4.528351 4.467474 4.527027 4.584595 4.560351 4.613916 4.62539 4.568344 4.638652 4.40696 4.496785 4.638527 4.595043","1","","","","[[]]","0.0","","Linux cutter08 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"01_dummy_build","det_ld_preload","","cutter08","cutter08_1492453911","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=01_dummy_build,label=CREST_cutter-31","2","2017-04-17 18:31:51.547486 UTC","2.268832","3.5396545","2.40178","","","","2.392714 2.268832 2.291286 2.282555 2.381232 2.272905 2.297271 2.34675 2.365211 2.32799 2.338276 2.371474 2.314419 2.357653 2.324539 2.377385 2.352832 2.304488 2.349794 2.341455 2.315148 2.347256 2.379734 2.298836 2.335539 2.40178 2.335714 2.380513 2.292827 2.390946","1","","","","[[]]","0.0","","Linux cutter08 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"01_dummy_build","det_ld_preload","","cutter08","cutter08_1492453911","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=01_dummy_build,label=CREST_cutter-31","3","2017-04-17 18:31:51.547486 UTC","1.613552","2.5971425000000004","1.772138","","","","1.672369 1.723295 1.657777 1.638034 1.642377 1.664099 1.648205 1.757132 1.755887 1.735068 1.706044 1.651724 1.772138 1.735614 1.704803 1.744741 1.703209 1.64226 1.767855 1.678104 1.730959 1.68652 1.658703 1.613552 1.688239 1.733207 1.658934 1.745306 1.668788 1.653127","1","","","","[[]]","0.0","","Linux cutter08 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"01_dummy_build","det_ld_preload","","cutter08","cutter08_1492453911","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=01_dummy_build,label=CREST_cutter-31","4","2017-04-17 18:31:51.547486 UTC","1.10175","1.721272","1.243279","","","","1.214624 1.160068 1.139152 1.17371 1.243279 1.197646 1.195903 1.153245 1.14812 1.167939 1.234886 1.148543 1.155174 1.157723 1.125372 1.158586 1.134942 1.171787 1.145147 1.157962 1.181834 1.17561 1.150788 1.10175 1.115433 1.173803 1.22915 1.147001 1.225032 1.162637","1","","","","[[]]","0.0","","Linux cutter08 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"01_dummy_build","det_ld_preload","","cutter08","cutter08_1492453911","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=01_dummy_build,label=CREST_cutter-31","5","2017-04-17 18:31:51.547486 UTC","1.083313","1.6871405","1.208347","","","","1.125182 1.169956 1.117011 1.167014 1.097554 1.130169 1.088571 1.172611 1.130963 1.150717 1.144154 1.141002 1.141625 1.152574 1.156613 1.108834 1.104521 1.168193 1.196479 1.103592 1.118857 1.156099 1.12013 1.111246 1.208347 1.113887 1.083313 1.127312 1.197404 1.192426","1","","","","[[]]","0.0","","Linux cutter08 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"01_dummy_build","det_ld_preload","","cutter08","cutter08_1492453911","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=01_dummy_build,label=CREST_cutter-31","6","2017-04-17 18:31:51.547486 UTC","1.124751","1.7861175","1.258546","","","","1.177939 1.208618 1.205607 1.17827 1.196289 1.169764 1.124751 1.21062 1.1966 1.195995 1.20395 1.176125 1.244374 1.208128 1.195021 1.188607 1.209061 1.257097 1.220827 1.168743 1.176735 1.224982 1.240711 1.175407 1.184529 1.180611 1.199977 1.191638 1.258546 1.189892","1","","","","[[]]","0.0","","Linux cutter08 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"01_dummy_build","det_ld_preload","","cutter08","cutter08_1492453911","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=01_dummy_build,label=CREST_cutter-31","7","2017-04-17 18:31:51.547486 UTC","1.097175","1.7294800000000001","1.189293","","","","1.146399 1.151865 1.115289 1.153531 1.142364 1.161784 1.100015 1.126291 1.170672 1.149002 1.141854 1.124334 1.098283 1.159009 1.126986 1.165987 1.105535 1.147499 1.151051 1.11458 1.097175 1.135735 1.173203 1.12604 1.127106 1.140947 1.109997 1.189293 1.158234 1.106894","1","","","","[[]]","0.0","","Linux cutter08 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"01_dummy_build","det_ld_preload","","cutter08","cutter08_1492453911","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=01_dummy_build,label=CREST_cutter-31","8","2017-04-17 18:31:51.547486 UTC","0.628811","1.018785","0.706806","","","","0.677515 0.640511 0.692371 0.68692 0.682808 0.669964 0.685946 0.629551 0.654199 0.658521 0.628811 0.706806 0.697333 0.675983 0.658802 0.689384 0.672102 0.676212 0.674223 0.673518 0.676739 0.651157 0.660213 0.642169 0.656395 0.659955 0.706784 0.676907 0.680706 0.64014","1","","","","[[]]","0.0","","Linux cutter08 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"01_dummy_build","det_ld_preload","","cutter08","cutter08_1492453911","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=01_dummy_build,label=CREST_cutter-31","9","2017-04-17 18:31:51.547486 UTC","0.624659","0.990329","0.711364","","","","0.642956 0.630612 0.652984 0.624659 0.662912 0.65072 0.640824 0.629037 0.645418 0.669837 0.657095 0.68445 0.652418 0.649749 0.636768 0.671945 0.638226 0.63682 0.677053 0.711364 0.665447 0.658535 0.649013 0.678296 0.696511 0.692139 0.670984 0.668088 0.652458 0.646291","1","","","","[[]]","0.0","","Linux cutter08 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"01_dummy_build","det_ld_preload","","cutter08","cutter08_1492453911","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=01_dummy_build,label=CREST_cutter-31","10","2017-04-17 18:31:51.547486 UTC","0.607125","0.9205085","0.702291","","","","0.647017 0.661288 0.660416 0.702291 0.676784 0.640989 0.677132 0.653183 0.637446 0.656177 0.661984 0.669537 0.618344 0.65048 0.626767 0.607125 0.664384 0.659393 0.689638 0.627868 0.649932 0.654022 0.643067 0.611515 0.637021 0.674303 0.650167 0.664171 0.657999 0.695938","1","","","","[[]]","0.0","","Linux cutter08 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"01_dummy_build","det_ld_preload","","cutter08","cutter08_1492453911","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=01_dummy_build,label=CREST_cutter-31","11","2017-04-17 18:31:51.547486 UTC","0.613152","0.9977024999999999","0.705491","","","","0.669373 0.635281 0.667228 0.705491 0.640904 0.670049 0.695753 0.644634 0.668532 0.624227 0.676551 0.664313 0.66261 0.674009 0.669371 0.663017 0.652943 0.627065 0.621612 0.64308 0.652168 0.625503 0.64353 0.615879 0.613152 0.654046 0.625341 0.643551 0.660709 0.659636","1","","","","[[]]","0.0","","Linux cutter08 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"01_dummy_build","det_ld_preload","","cutter08","cutter08_1492453911","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=01_dummy_build,label=CREST_cutter-31","12","2017-04-17 18:31:51.547486 UTC","0.604193","0.967443","0.790139","","","","0.647909 0.663805 0.662087 0.634828 0.656115 0.658975 0.627645 0.639189 0.636923 0.632066 0.638549 0.654253 0.634889 0.699624 0.642986 0.64595 0.679002 0.651359 0.639566 0.635081 0.790139 0.708605 0.606176 0.625615 0.665287 0.680547 0.710874 0.677546 0.604193 0.643198","1","","","","[[]]","0.0","","Linux cutter08 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"01_dummy_build","det_ld_preload","","cutter08","cutter08_1492453911","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=01_dummy_build,label=CREST_cutter-31","13","2017-04-17 18:31:51.547486 UTC","0.597023","1.023399","0.693186","","","","0.618544 0.659841 0.623021 0.640095 0.673825 0.644203 0.668104 0.632585 0.647163 0.693186 0.670346 0.64626 0.676914 0.64841 0.661802 0.692498 0.677501 0.653524 0.681951 0.667989 0.63449 0.597023 0.641424 0.658582 0.640368 0.641412 0.644427 0.626552 0.668685 0.645694","1","","","","[[]]","0.0","","Linux cutter08 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"01_dummy_build","det_ld_preload","","cutter08","cutter08_1492453911","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=01_dummy_build,label=CREST_cutter-31","14","2017-04-17 18:31:51.547486 UTC","0.603842","0.966141","0.70213","","","","0.674299 0.676262 0.621037 0.663272 0.643879 0.656108 0.655204 0.649846 0.611 0.666579 0.654184 0.650773 0.617957 0.64296 0.64832 0.641981 0.659013 0.65131 0.660833 0.65609 0.70213 0.674675 0.654354 0.637699 0.660928 0.638629 0.642179 0.64511 0.603842 0.63988","1","","","","[[]]","0.0","","Linux cutter08 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"01_dummy_build","det_ld_preload","","cutter08","cutter08_1492453911","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=01_dummy_build,label=CREST_cutter-31","15","2017-04-17 18:31:51.547486 UTC","0.621309","0.9727080000000001","0.746617","","","","0.63701 0.6439 0.627537 0.665776 0.648693 0.642871 0.635136 0.621309 0.636719 0.661674 0.663466 0.668788 0.621312 0.746617 0.657784 0.643816 0.644908 0.640231 0.643023 0.664656 0.657407 0.656619 0.638658 0.689009 0.636209 0.65392 0.663467 0.645708 0.657537 0.681987","1","","","","[[]]","0.0","","Linux cutter08 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
