PROGNAME,VARIANT,ARGS,HOSTNAME,RUNID,CI_BUILD_ID,THREADS,DATETIME,MINTIME,MEDIANTIME,MAXTIME,MINTIME_PRODUCTIVITY,MEDIANTIME_PRODUCTIVITY,MAXTIME_PRODUCTIVITY,ALLTIMES,TRIALS,COMPILER,COMPILE_FLAGS,RUNTIME_FLAGS,ENV_VARS,BENCH_VERSION,BENCH_FILE,UNAME,PROCESSOR,TOPOLOGY,GIT_BRANCH,GIT_HASH,GIT_DEPTH,WHO,ETC_ISSUE,LSPCI,FULL_LOG,MEDIANTIME_ALLOCRATE,MEDIANTIME_MEMFOOTPRINT,ALLJITTIMES,RETRIES
"06_splash/apps/ocean_cp","det_ld_preload","","cutter07","cutter07_1492453924","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-apps-ocean_cp,label=CREST_cutter-31","1","2017-04-17 18:32:04.332967 UTC","3.110789","4.7243515","3.393708","","","","3.393708 3.281882 3.238323 3.116215 3.288792 3.156427 3.299945 3.271045 3.120164 3.171087 3.129649 3.123189 3.165868 3.313493 3.110789 3.168957 3.185308 3.1859 3.25368 3.21365 3.157431 3.182042 3.221927 3.199325 3.259536 3.313422 3.23842 3.15975 3.217681 3.117028","1","","","","[[]]","0.0","","Linux cutter07 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/apps/ocean_cp","det_ld_preload","","cutter07","cutter07_1492453924","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-apps-ocean_cp,label=CREST_cutter-31","2","2017-04-17 18:32:04.332967 UTC","1.636173","2.5415235000000003","1.993351","","","","1.818514 1.797039 1.876901 1.720114 1.799842 1.687323 1.688634 1.78606 1.841367 1.767469 1.823249 1.741996 1.912886 1.738267 1.707675 1.687686 1.904262 1.726558 1.749801 1.636173 1.708122 1.705771 1.993351 1.669088 1.84236 1.711658 1.726953 1.933765 1.696916 1.726353","1","","","","[[]]","0.0","","Linux cutter07 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/apps/ocean_cp","det_ld_preload","","cutter07","cutter07_1492453924","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-apps-ocean_cp,label=CREST_cutter-31","3","2017-04-17 18:32:04.332967 UTC","0.99686","1.9241905","1.435726","","","","1.277131 1.120816 1.435726 1.282969 1.182462 1.228098 1.321758 1.090989 1.180354 1.380079 1.159816 1.220048 1.290316 1.415958 1.353861 1.24726 1.183357 1.021004 1.031619 1.334213 1.296668 1.108956 1.281533 1.374371 1.154581 0.99686 1.263205 1.153955 1.430094 1.195454","1","","","","[[]]","0.0","","Linux cutter07 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/apps/ocean_cp","det_ld_preload","","cutter07","cutter07_1492453924","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-apps-ocean_cp,label=CREST_cutter-31","4","2017-04-17 18:32:04.332967 UTC","1.029967","1.7333085","1.221668","","","","1.041328 1.037059 1.170637 1.210503 1.029967 1.117268 1.184901 1.069841 1.162773 1.031774 1.137464 1.213355 1.17289 1.221668 1.106477 1.18007 1.145873 1.07386 1.048687 1.10573 1.147229 1.16287 1.152651 1.134772 1.126489 1.076668 1.050331 1.093986 1.168291 1.145661","1","","","","[[]]","0.0","","Linux cutter07 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/apps/ocean_cp","det_ld_preload","","cutter07","cutter07_1492453924","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-apps-ocean_cp,label=CREST_cutter-31","5","2017-04-17 18:32:04.332967 UTC","0.918972","1.6885035","1.198329","","","","1.097567 1.107344 1.156939 1.015201 1.079367 1.168425 1.122961 1.044101 1.088752 0.976347 1.198329 0.948739 0.998557 0.978348 1.094981 1.141013 0.957079 0.973903 0.936768 1.047204 1.126026 0.933056 0.918972 0.926435 1.027653 0.995506 0.996995 1.094547 1.078637 0.931825","1","","","","[[]]","0.0","","Linux cutter07 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/apps/ocean_cp","det_ld_preload","","cutter07","cutter07_1492453924","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-apps-ocean_cp,label=CREST_cutter-31","6","2017-04-17 18:32:04.332967 UTC","0.922553","1.5532569999999999","1.128555","","","","0.922553 0.95732 0.953169 0.975761 0.937939 0.935475 1.081397 1.000421 1.102193 1.015793 1.128555 0.943165 1.082484 0.94544 0.953406 1.076554 0.965098 0.989909 0.93168 1.096622 0.995174 0.953994 1.014129 1.04123 1.013658 1.028591 1.099672 1.078106 0.955013 1.034176","1","","","","[[]]","0.0","","Linux cutter07 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/apps/ocean_cp","det_ld_preload","","cutter07","cutter07_1492453924","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-apps-ocean_cp,label=CREST_cutter-31","7","2017-04-17 18:32:04.332967 UTC","0.892955","1.520276","1.116119","","","","0.907507 0.919894 0.999238 1.015748 0.925748 0.989459 1.030087 1.039903 0.938001 1.024621 1.024166 0.94888 0.963692 0.932545 1.015386 1.012583 1.012223 0.991236 0.892955 0.973469 0.966315 1.018133 1.028685 1.033798 0.931737 0.931789 1.116119 1.023476 1.028429 0.930673","1","","","","[[]]","0.0","","Linux cutter07 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/apps/ocean_cp","det_ld_preload","","cutter07","cutter07_1492453924","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-apps-ocean_cp,label=CREST_cutter-31","8","2017-04-17 18:32:04.332967 UTC","0.903964","1.40309","1.034478","","","","0.915025 0.971461 0.977478 0.956033 0.94796 0.941854 1.034478 1.016713 0.942859 0.946387 1.002043 0.952835 0.934631 0.975882 0.94399 0.931095 1.01729 0.903964 0.941599 0.960514 1.00232 0.936589 0.941974 0.981989 1.027038 0.971635 0.928672 1.010389 1.033142 0.995379","1","","","","[[]]","0.0","","Linux cutter07 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/apps/ocean_cp","det_ld_preload","","cutter07","cutter07_1492453924","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-apps-ocean_cp,label=CREST_cutter-31","9","2017-04-17 18:32:04.332967 UTC","0.873537","1.411931","1.079702","","","","0.935785 0.909429 0.936109 0.883752 0.918561 0.930158 0.887502 0.905957 0.923334 1.029428 0.873537 0.955336 0.923775 1.010633 0.916816 0.953523 0.943301 0.966491 0.97131 0.950841 0.926681 0.957009 0.961508 1.079702 0.969635 0.950466 0.928662 0.933931 1.03659 0.917158","1","","","","[[]]","0.0","","Linux cutter07 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/apps/ocean_cp","det_ld_preload","","cutter07","cutter07_1492453924","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-apps-ocean_cp,label=CREST_cutter-31","10","2017-04-17 18:32:04.332967 UTC","0.907646","1.4146765","1.024298","","","","0.936059 0.965893 0.949984 0.951815 0.917751 0.925277 0.909739 0.924827 0.946242 1.024298 0.958108 0.9723 0.907646 0.935513 0.929313 0.95002 0.939813 0.940685 0.913611 0.958937 0.971917 0.965671 0.977823 0.942432 0.937229 0.921498 0.962881 0.957778 0.926992 0.978556","1","","","","[[]]","0.0","","Linux cutter07 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
