PROGNAME,VARIANT,ARGS,HOSTNAME,RUNID,CI_BUILD_ID,THREADS,DATETIME,MINTIME,MEDIANTIME,MAXTIME,MINTIME_PRODUCTIVITY,MEDIANTIME_PRODUCTIVITY,MAXTIME_PRODUCTIVITY,ALLTIMES,TRIALS,COMPILER,COMPILE_FLAGS,RUNTIME_FLAGS,ENV_VARS,BENCH_VERSION,BENCH_FILE,UNAME,PROCESSOR,TOPOLOGY,GIT_BRANCH,GIT_HASH,GIT_DEPTH,WHO,ETC_ISSUE,LSPCI,FULL_LOG,MEDIANTIME_ALLOCRATE,MEDIANTIME_MEMFOOTPRINT,ALLJITTIMES,RETRIES
"06_splash/kernels/cholesky","det_ld_preload","","cutter03","cutter03_1492453576","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-cholesky,label=CREST_cutter-31","1","2017-04-17 18:26:16.576348 UTC","3.679256","5.8195775","4.040305","","","","4.040305 3.93559 3.919033 3.822987 3.904642 3.886889 3.839325 3.919476 3.917882 3.82764 3.840615 3.861805 3.875107 3.679256 3.943717 3.847719 3.760898 3.906515 3.755266 3.737328 3.828069 3.842213 3.962327 3.968193 3.825444 3.715903 3.797781 3.808789 3.817604 3.785546","1","","","","[[]]","0.0","","Linux cutter03 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/cholesky","det_ld_preload","","cutter03","cutter03_1492453576","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-cholesky,label=CREST_cutter-31","2","2017-04-17 18:26:16.576348 UTC","1.915252","3.164362","2.208441","","","","2.07363 2.174095 2.090221 1.974618 2.102188 2.132043 1.986209 1.988978 1.950433 2.091327 2.070417 1.915252 2.086391 2.02556 2.082078 2.123323 1.995146 2.090202 2.040468 1.992516 2.208441 2.016317 2.017866 2.187022 2.153923 2.089984 2.039843 1.939296 2.126247 1.99899","1","","","","[[]]","0.0","","Linux cutter03 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/cholesky","det_ld_preload","","cutter03","cutter03_1492453576","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-cholesky,label=CREST_cutter-31","3","2017-04-17 18:26:16.576348 UTC","1.10293","1.845666","1.367341","","","","1.323766 1.259353 1.254768 1.276192 1.243122 1.367341 1.219233 1.10293 1.229056 1.132352 1.311948 1.276363 1.172668 1.167442 1.207344 1.241994 1.210486 1.270516 1.159958 1.223492 1.248164 1.305754 1.200122 1.222456 1.134409 1.188041 1.213669 1.212571 1.115677 1.17571","1","","","","[[]]","0.0","","Linux cutter03 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/cholesky","det_ld_preload","","cutter03","cutter03_1492453576","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-cholesky,label=CREST_cutter-31","4","2017-04-17 18:26:16.576348 UTC","0.830022","1.44732","1.057492","","","","0.830022 0.898492 0.906371 0.938034 0.932523 1.050927 0.894189 0.934921 1.004791 0.978473 0.871931 0.93385 0.994892 0.949692 0.923404 0.985618 0.904444 0.853632 0.895076 0.915723 0.902153 0.866172 0.986922 0.849369 0.953046 1.057492 1.000846 0.921939 0.874232 0.94516","1","","","","[[]]","0.0","","Linux cutter03 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/cholesky","det_ld_preload","","cutter03","cutter03_1492453576","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-cholesky,label=CREST_cutter-31","5","2017-04-17 18:26:16.576348 UTC","0.720396","1.223614","0.922481","","","","0.893323 0.770986 0.922481 0.901446 0.861273 0.791644 0.829408 0.881972 0.735363 0.800498 0.814752 0.82703 0.722767 0.76453 0.842252 0.802488 0.748046 0.856274 0.7693 0.745318 0.845512 0.777213 0.746369 0.768185 0.837615 0.804202 0.720396 0.895475 0.852129 0.866872","1","","","","[[]]","0.0","","Linux cutter03 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/cholesky","det_ld_preload","","cutter03","cutter03_1492453576","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-cholesky,label=CREST_cutter-31","6","2017-04-17 18:26:16.576348 UTC","0.653324","1.1214085","0.85306","","","","0.771606 0.802028 0.811976 0.663851 0.812931 0.743991 0.796512 0.750522 0.831858 0.783019 0.838846 0.656835 0.662762 0.714983 0.705313 0.768752 0.674011 0.653324 0.777647 0.783318 0.816568 0.732224 0.693678 0.662452 0.81097 0.85306 0.807715 0.717944 0.813539 0.81973","1","","","","[[]]","0.0","","Linux cutter03 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/cholesky","det_ld_preload","","cutter03","cutter03_1492453576","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-cholesky,label=CREST_cutter-31","7","2017-04-17 18:26:16.576348 UTC","0.582848","1.030306","0.835119","","","","0.592247 0.77519 0.678196 0.674966 0.732482 0.800724 0.669651 0.743495 0.680554 0.665523 0.726533 0.582848 0.65312 0.635474 0.711776 0.674418 0.744469 0.695429 0.773134 0.716933 0.720752 0.762484 0.835119 0.790593 0.719725 0.643942 0.658302 0.672287 0.752396 0.594862","1","","","","[[]]","0.0","","Linux cutter03 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/cholesky","det_ld_preload","","cutter03","cutter03_1492453576","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-cholesky,label=CREST_cutter-31","8","2017-04-17 18:26:16.576348 UTC","0.543013","1.0149245","0.728421","","","","0.693534 0.659867 0.725134 0.707689 0.684403 0.543013 0.728421 0.633223 0.620115 0.712728 0.640869 0.613102 0.692216 0.722604 0.618777 0.705536 0.562397 0.595182 0.620653 0.662326 0.65297 0.671249 0.670207 0.626799 0.686759 0.684077 0.657992 0.618754 0.711974 0.613931","1","","","","[[]]","0.0","","Linux cutter03 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/cholesky","det_ld_preload","","cutter03","cutter03_1492453576","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-cholesky,label=CREST_cutter-31","9","2017-04-17 18:26:16.576348 UTC","0.585809","0.9614035","0.735102","","","","0.696641 0.676067 0.678537 0.640762 0.67691 0.658758 0.680913 0.595792 0.658714 0.649774 0.685798 0.643606 0.694571 0.723881 0.650795 0.636006 0.642242 0.585809 0.592386 0.65494 0.654846 0.610123 0.606648 0.663525 0.673896 0.686133 0.631706 0.651309 0.735102 0.591319","1","","","","[[]]","0.0","","Linux cutter03 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/cholesky","det_ld_preload","","cutter03","cutter03_1492453576","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-cholesky,label=CREST_cutter-31","10","2017-04-17 18:26:16.576348 UTC","0.538595","0.8906019999999999","0.731776","","","","0.654407 0.629811 0.731776 0.642586 0.588167 0.538595 0.60581 0.66618 0.566368 0.578135 0.561756 0.698125 0.590416 0.577157 0.601274 0.589965 0.573802 0.584738 0.658936 0.640335 0.644443 0.604836 0.728708 0.598461 0.564814 0.587971 0.682923 0.569647 0.585054 0.614331","1","","","","[[]]","0.0","","Linux cutter03 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
