PROGNAME,VARIANT,ARGS,HOSTNAME,RUNID,CI_BUILD_ID,THREADS,DATETIME,MINTIME,MEDIANTIME,MAXTIME,MINTIME_PRODUCTIVITY,MEDIANTIME_PRODUCTIVITY,MAXTIME_PRODUCTIVITY,ALLTIMES,TRIALS,COMPILER,COMPILE_FLAGS,RUNTIME_FLAGS,ENV_VARS,BENCH_VERSION,BENCH_FILE,UNAME,PROCESSOR,TOPOLOGY,GIT_BRANCH,GIT_HASH,GIT_DEPTH,WHO,ETC_ISSUE,LSPCI,FULL_LOG,MEDIANTIME_ALLOCRATE,MEDIANTIME_MEMFOOTPRINT,ALLJITTIMES,RETRIES
"06_splash/kernels/lu_cb","det_ld_preload","","cutter01","cutter01_1492453962","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-lu_cb,label=CREST_cutter-31","1","2017-04-17 18:32:42.354936 UTC","0.513113","0.8947635","0.735952","","","","0.735952 0.5796 0.601317 0.588134 0.597655 0.58853 0.580036 0.587251 0.593005 0.586865 0.546318 0.585691 0.592567 0.568049 0.594211 0.597658 0.654474 0.588474 0.569027 0.513166 0.589201 0.582712 0.56237 0.585114 0.581465 0.513113 0.591521 0.586355 0.590013 0.56376","1","","","","[[]]","0.0","","Linux cutter01 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/lu_cb","det_ld_preload","","cutter01","cutter01_1492453962","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-lu_cb,label=CREST_cutter-31","2","2017-04-17 18:32:42.354936 UTC","0.504182","0.7705029999999999","0.60098","","","","0.572364 0.583061 0.58983 0.582584 0.554458 0.579718 0.57596 0.586563 0.562013 0.566138 0.59247 0.530889 0.567315 0.568822 0.504182 0.518412 0.57387 0.595122 0.578375 0.581623 0.58886 0.60098 0.570377 0.557415 0.561716 0.538941 0.59155 0.584559 0.584206 0.582288","1","","","","[[]]","0.0","","Linux cutter01 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/lu_cb","det_ld_preload","","cutter01","cutter01_1492453962","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-lu_cb,label=CREST_cutter-31","3","2017-04-17 18:32:42.354936 UTC","0.528173","0.892709","0.614771","","","","0.579542 0.595032 0.580999 0.581323 0.572054 0.574803 0.585312 0.595067 0.591859 0.584191 0.569645 0.593706 0.580393 0.575494 0.596722 0.594348 0.614771 0.579147 0.58348 0.579918 0.586077 0.593394 0.571104 0.578399 0.57717 0.564831 0.528173 0.596436 0.583807 0.586975","1","","","","[[]]","0.0","","Linux cutter01 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/lu_cb","det_ld_preload","","cutter01","cutter01_1492453962","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-lu_cb,label=CREST_cutter-31","4","2017-04-17 18:32:42.354936 UTC","0.495511","0.818006","0.651992","","","","0.590308 0.570642 0.585529 0.563255 0.583409 0.59099 0.554749 0.575868 0.575587 0.591019 0.587186 0.583521 0.599674 0.518375 0.568514 0.533749 0.590311 0.546184 0.594401 0.576349 0.563963 0.577473 0.57685 0.56345 0.598278 0.590604 0.570377 0.495511 0.515206 0.651992","1","","","","[[]]","0.0","","Linux cutter01 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/lu_cb","det_ld_preload","","cutter01","cutter01_1492453962","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-lu_cb,label=CREST_cutter-31","5","2017-04-17 18:32:42.354936 UTC","0.534751","0.875801","0.604495","","","","0.591829 0.578937 0.591602 0.584487 0.535689 0.579136 0.573271 0.595758 0.566594 0.553563 0.534751 0.58158 0.590938 0.594511 0.594942 0.57833 0.577056 0.583753 0.604495 0.570404 0.586218 0.596796 0.58924 0.584413 0.584251 0.598995 0.573884 0.582639 0.589077 0.600164","1","","","","[[]]","0.0","","Linux cutter01 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/lu_cb","det_ld_preload","","cutter01","cutter01_1492453962","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-lu_cb,label=CREST_cutter-31","6","2017-04-17 18:32:42.354936 UTC","0.47929","0.7989425","0.647597","","","","0.574558 0.47929 0.519048 0.647597 0.585749 0.551626 0.581314 0.591875 0.58075 0.58453 0.591557 0.568155 0.590447 0.510727 0.588641 0.504622 0.578424 0.571244 0.593507 0.593325 0.59283 0.563002 0.590592 0.583214 0.554039 0.522682 0.56219 0.582232 0.59535 0.585642","1","","","","[[]]","0.0","","Linux cutter01 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/lu_cb","det_ld_preload","","cutter01","cutter01_1492453962","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-lu_cb,label=CREST_cutter-31","7","2017-04-17 18:32:42.354936 UTC","0.476006","0.7637944999999999","0.599359","","","","0.564858 0.510566 0.590641 0.567171 0.561666 0.588911 0.570098 0.569494 0.563814 0.548654 0.596073 0.574998 0.57729 0.599359 0.575577 0.476006 0.563705 0.526544 0.589603 0.593345 0.584083 0.580306 0.5988 0.590967 0.594891 0.561867 0.593579 0.550071 0.570081 0.52897","1","","","","[[]]","0.0","","Linux cutter01 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/lu_cb","det_ld_preload","","cutter01","cutter01_1492453962","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-lu_cb,label=CREST_cutter-31","8","2017-04-17 18:32:42.354936 UTC","0.5343","0.8761410000000001","0.660922","","","","0.571631 0.592273 0.546815 0.572501 0.569643 0.580481 0.596781 0.567377 0.59979 0.595424 0.558408 0.591605 0.600353 0.587293 0.582408 0.584937 0.597499 0.598427 0.599031 0.58697 0.660922 0.596546 0.588441 0.587217 0.571932 0.561623 0.574307 0.575155 0.5343 0.572286","1","","","","[[]]","0.0","","Linux cutter01 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/lu_cb","det_ld_preload","","cutter01","cutter01_1492453962","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-lu_cb,label=CREST_cutter-31","9","2017-04-17 18:32:42.354936 UTC","0.475641","0.7618195","0.662865","","","","0.584278 0.544182 0.582109 0.48323 0.578773 0.585254 0.579521 0.542677 0.574938 0.560458 0.58582 0.585478 0.5278 0.59736 0.572357 0.475641 0.662865 0.575854 0.597764 0.586087 0.586787 0.594034 0.560909 0.579182 0.602078 0.589571 0.596219 0.578968 0.580467 0.589169","1","","","","[[]]","0.0","","Linux cutter01 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/lu_cb","det_ld_preload","","cutter01","cutter01_1492453962","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-lu_cb,label=CREST_cutter-31","10","2017-04-17 18:32:42.354936 UTC","0.538588","0.8615575","0.658051","","","","0.552375 0.576448 0.605372 0.586023 0.559933 0.58335 0.579593 0.594142 0.58932 0.584547 0.580784 0.658051 0.578123 0.591791 0.587387 0.567864 0.574228 0.585335 0.597995 0.563315 0.571814 0.598479 0.581817 0.551929 0.562527 0.590577 0.571493 0.584749 0.589602 0.538588","1","","","","[[]]","0.0","","Linux cutter01 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/lu_cb","det_ld_preload","","cutter01","cutter01_1492453962","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-lu_cb,label=CREST_cutter-31","11","2017-04-17 18:32:42.354936 UTC","0.537827","0.865172","0.604757","","","","0.59853 0.537827 0.59401 0.560528 0.604757 0.573139 0.581131 0.578143 0.586165 0.582405 0.571766 0.576315 0.561377 0.593677 0.580272 0.575036 0.585327 0.566169 0.586851 0.592528 0.59044 0.578734 0.595933 0.585442 0.583786 0.589007 0.552181 0.584261 0.587757 0.583906","1","","","","[[]]","0.0","","Linux cutter01 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/lu_cb","det_ld_preload","","cutter01","cutter01_1492453962","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-lu_cb,label=CREST_cutter-31","12","2017-04-17 18:32:42.354936 UTC","0.530007","0.8268375","0.608178","","","","0.535847 0.564389 0.597158 0.590144 0.581872 0.575905 0.588965 0.579311 0.608178 0.574823 0.591161 0.585392 0.572965 0.590257 0.593661 0.530007 0.585036 0.555165 0.584326 0.566911 0.596015 0.560772 0.56159 0.571927 0.584039 0.573416 0.596941 0.60288 0.597816 0.596713","1","","","","[[]]","0.0","","Linux cutter01 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/lu_cb","det_ld_preload","","cutter01","cutter01_1492453962","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-lu_cb,label=CREST_cutter-31","13","2017-04-17 18:32:42.354936 UTC","0.509295","0.8888404999999999","0.681978","","","","0.594381 0.551221 0.589283 0.587911 0.567892 0.592585 0.681978 0.621667 0.542218 0.59298 0.579231 0.585863 0.595915 0.509295 0.595389 0.591146 0.590906 0.539105 0.524527 0.587798 0.57998 0.573609 0.58124 0.579078 0.5686 0.57215 0.592394 0.558975 0.582332 0.590896","1","","","","[[]]","0.0","","Linux cutter01 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/lu_cb","det_ld_preload","","cutter01","cutter01_1492453962","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-lu_cb,label=CREST_cutter-31","14","2017-04-17 18:32:42.354936 UTC","0.526334","0.8447185","0.596635","","","","0.577507 0.58589 0.558329 0.584093 0.573508 0.56283 0.561283 0.581544 0.587875 0.551656 0.573044 0.552653 0.567254 0.528052 0.568791 0.560323 0.570534 0.564332 0.596635 0.593886 0.590553 0.593524 0.572393 0.563321 0.564326 0.570898 0.550006 0.562148 0.594583 0.526334","1","","","","[[]]","0.0","","Linux cutter01 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/lu_cb","det_ld_preload","","cutter01","cutter01_1492453962","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-lu_cb,label=CREST_cutter-31","15","2017-04-17 18:32:42.354936 UTC","0.544571","0.8942969999999999","0.652279","","","","0.577454 0.579889 0.594927 0.573518 0.570999 0.559393 0.596236 0.57719 0.58987 0.592341 0.580236 0.57408 0.574099 0.565768 0.588996 0.599799 0.581458 0.598634 0.579611 0.585831 0.605847 0.544571 0.59808 0.652279 0.5718 0.56175 0.602858 0.553105 0.555478 0.583278","1","","","","[[]]","0.0","","Linux cutter01 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/lu_cb","det_ld_preload","","cutter01","cutter01_1492453962","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-lu_cb,label=CREST_cutter-31","16","2017-04-17 18:32:42.354936 UTC","0.499122","0.872722","0.601256","","","","0.592941 0.570514 0.552701 0.592847 0.570832 0.601256 0.598647 0.595995 0.593967 0.51831 0.560424 0.577109 0.592591 0.531854 0.574656 0.585394 0.53759 0.578737 0.571784 0.586373 0.544631 0.574007 0.56208 0.55566 0.53721 0.596019 0.59772 0.537775 0.582481 0.499122","1","","","","[[]]","0.0","","Linux cutter01 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/lu_cb","det_ld_preload","","cutter01","cutter01_1492453962","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-lu_cb,label=CREST_cutter-31","24","2017-04-17 18:32:42.354936 UTC","0.482305","0.8611675000000001","0.60378","","","","0.573976 0.550051 0.584682 0.576599 0.582841 0.59493 0.60378 0.554211 0.579424 0.574848 0.591271 0.597272 0.594177 0.515616 0.597417 0.562459 0.569594 0.568872 0.586183 0.563705 0.582218 0.552557 0.573535 0.568377 0.597431 0.585334 0.482305 0.516952 0.525378 0.602734","1","","","","[[]]","0.0","","Linux cutter01 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/lu_cb","det_ld_preload","","cutter01","cutter01_1492453962","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-lu_cb,label=CREST_cutter-31","32","2017-04-17 18:32:42.354936 UTC","0.528458","0.842768","0.60609","","","","0.561559 0.579865 0.603936 0.573495 0.60609 0.575565 0.574557 0.592322 0.5948 0.601535 0.577949 0.582375 0.585284 0.560554 0.586066 0.549735 0.592273 0.578357 0.586898 0.575709 0.580996 0.593019 0.579939 0.578103 0.572378 0.528458 0.56695 0.584018 0.574286 0.57611","1","","","","[[]]","0.0","","Linux cutter01 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/lu_cb","nondet","","cutter01","cutter01_1492453962","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-lu_cb,label=CREST_cutter-31","1","2017-04-17 18:32:42.354936 UTC","0.521262","0.8312120000000001","0.654248","","","","0.529078 0.566038 0.570327 0.57062 0.547874 0.574212 0.535681 0.654248 0.568518 0.580797 0.568956 0.5748 0.569243 0.553121 0.559608 0.551408 0.579319 0.582718 0.521262 0.58348 0.54127 0.574669 0.581185 0.587517 0.57359 0.580689 0.574 0.573302 0.556161 0.579501","1","","","","[[]]","0.0","","Linux cutter01 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/lu_cb","nondet","","cutter01","cutter01_1492453962","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-lu_cb,label=CREST_cutter-31","2","2017-04-17 18:32:42.354936 UTC","0.530549","0.8305135","0.58827","","","","0.57642 0.582281 0.582476 0.578298 0.580021 0.55505 0.578399 0.577246 0.572232 0.580295 0.530549 0.572763 0.577935 0.568135 0.565239 0.547894 0.536389 0.5438 0.576389 0.567578 0.536845 0.568888 0.581102 0.572444 0.572817 0.566698 0.568063 0.58827 0.573476 0.571729","1","","","","[[]]","0.0","","Linux cutter01 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/lu_cb","nondet","","cutter01","cutter01_1492453962","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-lu_cb,label=CREST_cutter-31","3","2017-04-17 18:32:42.354936 UTC","0.418133","0.824255","0.592133","","","","0.592133 0.565465 0.577099 0.57308 0.56575 0.578772 0.562788 0.567657 0.575412 0.581982 0.5443 0.581532 0.552469 0.573304 0.545756 0.551377 0.57307 0.57699 0.584706 0.571835 0.545311 0.418133 0.470055 0.582729 0.549951 0.577722 0.573069 0.565246 0.563026 0.57568","1","","","","[[]]","0.0","","Linux cutter01 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/lu_cb","nondet","","cutter01","cutter01_1492453962","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-lu_cb,label=CREST_cutter-31","4","2017-04-17 18:32:42.354936 UTC","0.501533","0.8671495","0.587755","","","","0.567023 0.574779 0.569697 0.577459 0.507158 0.581314 0.578367 0.57349 0.565276 0.560033 0.572101 0.578806 0.565919 0.55075 0.563801 0.585249 0.501533 0.575959 0.559326 0.587755 0.502653 0.556706 0.565833 0.578208 0.559734 0.579891 0.577661 0.570355 0.540472 0.550372","1","","","","[[]]","0.0","","Linux cutter01 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/lu_cb","nondet","","cutter01","cutter01_1492453962","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-lu_cb,label=CREST_cutter-31","5","2017-04-17 18:32:42.354936 UTC","0.470965","0.8429745","0.584281","","","","0.567361 0.574594 0.578238 0.562783 0.577178 0.572479 0.572945 0.575522 0.470965 0.571202 0.569774 0.555707 0.566375 0.55667 0.577193 0.554378 0.581796 0.541874 0.564662 0.560604 0.584281 0.56215 0.561241 0.575091 0.531108 0.573001 0.581227 0.552477 0.546672 0.577858","1","","","","[[]]","0.0","","Linux cutter01 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
