PROGNAME,VARIANT,ARGS,HOSTNAME,RUNID,CI_BUILD_ID,THREADS,DATETIME,MINTIME,MEDIANTIME,MAXTIME,MINTIME_PRODUCTIVITY,MEDIANTIME_PRODUCTIVITY,MAXTIME_PRODUCTIVITY,ALLTIMES,TRIALS,COMPILER,COMPILE_FLAGS,RUNTIME_FLAGS,ENV_VARS,BENCH_VERSION,BENCH_FILE,UNAME,PROCESSOR,TOPOLOGY,GIT_BRANCH,GIT_HASH,GIT_DEPTH,WHO,ETC_ISSUE,LSPCI,FULL_LOG,MEDIANTIME_ALLOCRATE,MEDIANTIME_MEMFOOTPRINT,ALLJITTIMES,RETRIES
"06_splash/kernels/lu_ncb","det_ld_preload","","cutter06","cutter06_1492452940","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-lu_ncb,label=CREST_cutter-31","1","2017-04-17 18:15:40.070402 UTC","0.485921","0.8127960000000001","0.824096","","","","0.824096 0.505521 0.556049 0.534226 0.508936 0.524823 0.536125 0.545141 0.534407 0.522549 0.540164 0.529903 0.50586 0.535277 0.510136 0.557728 0.531957 0.538487 0.554549 0.551734 0.535063 0.524571 0.539026 0.529364 0.527119 0.550643 0.485921 0.537986 0.545923 0.520243","1","","","","[[]]","0.0","","Linux cutter06 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/lu_ncb","det_ld_preload","","cutter06","cutter06_1492452940","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-lu_ncb,label=CREST_cutter-31","2","2017-04-17 18:15:40.070402 UTC","0.489018","0.7503905","0.563983","","","","0.544681 0.550285 0.535506 0.534032 0.498984 0.516244 0.533543 0.5449 0.503558 0.528429 0.543365 0.536016 0.541079 0.507492 0.522745 0.489018 0.512947 0.53989 0.550919 0.552987 0.507326 0.528516 0.542155 0.557633 0.535735 0.550737 0.563983 0.539424 0.518698 0.534822","1","","","","[[]]","0.0","","Linux cutter06 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/lu_ncb","det_ld_preload","","cutter06","cutter06_1492452940","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-lu_ncb,label=CREST_cutter-31","3","2017-04-17 18:15:40.070402 UTC","0.428926","0.797955","0.575906","","","","0.530044 0.483169 0.575906 0.555939 0.527294 0.5389 0.523669 0.494045 0.528705 0.547507 0.530949 0.428926 0.504555 0.502925 0.534716 0.530597 0.544833 0.555363 0.547469 0.504343 0.535638 0.501245 0.544592 0.442334 0.535149 0.555478 0.557214 0.556039 0.557752 0.548853","1","","","","[[]]","0.0","","Linux cutter06 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/lu_ncb","det_ld_preload","","cutter06","cutter06_1492452940","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-lu_ncb,label=CREST_cutter-31","4","2017-04-17 18:15:40.070402 UTC","0.442769","0.827299","0.626791","","","","0.528007 0.526538 0.524999 0.548515 0.552504 0.514417 0.517394 0.558411 0.555842 0.521014 0.530453 0.523519 0.518765 0.553018 0.550706 0.551946 0.562457 0.518914 0.626791 0.56254 0.55227 0.542343 0.498001 0.530601 0.528564 0.442769 0.533654 0.585326 0.539664 0.556991","1","","","","[[]]","0.0","","Linux cutter06 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/lu_ncb","det_ld_preload","","cutter06","cutter06_1492452940","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-lu_ncb,label=CREST_cutter-31","5","2017-04-17 18:15:40.070402 UTC","0.48466","0.7779155","0.560119","","","","0.543269 0.534194 0.530648 0.546183 0.554313 0.551221 0.54158 0.551599 0.54645 0.536207 0.518484 0.529386 0.48466 0.532166 0.511913 0.521959 0.535671 0.525684 0.535147 0.517611 0.529402 0.535707 0.560119 0.554366 0.538746 0.551527 0.501755 0.530141 0.538197 0.514084","1","","","","[[]]","0.0","","Linux cutter06 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/lu_ncb","det_ld_preload","","cutter06","cutter06_1492452940","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-lu_ncb,label=CREST_cutter-31","6","2017-04-17 18:15:40.070402 UTC","0.460967","0.7736455","0.555246","","","","0.529088 0.551004 0.54786 0.555246 0.493709 0.471704 0.533475 0.490177 0.526601 0.531358 0.525982 0.534918 0.522238 0.531597 0.542401 0.502445 0.549788 0.546498 0.53351 0.517446 0.485691 0.528683 0.460967 0.539217 0.518864 0.51304 0.519826 0.51363 0.524248 0.519872","1","","","","[[]]","0.0","","Linux cutter06 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/lu_ncb","det_ld_preload","","cutter06","cutter06_1492452940","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-lu_ncb,label=CREST_cutter-31","7","2017-04-17 18:15:40.070402 UTC","0.445516","0.7896970000000001","0.620451","","","","0.508007 0.537592 0.544373 0.541566 0.521236 0.504167 0.482893 0.550755 0.508969 0.595825 0.559076 0.548985 0.546284 0.527062 0.516852 0.531271 0.503138 0.541477 0.60927 0.554596 0.530878 0.511298 0.464826 0.620451 0.557255 0.542888 0.445516 0.539478 0.530542 0.552044","1","","","","[[]]","0.0","","Linux cutter06 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/lu_ncb","det_ld_preload","","cutter06","cutter06_1492452940","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-lu_ncb,label=CREST_cutter-31","8","2017-04-17 18:15:40.070402 UTC","0.474726","0.7873975","0.585028","","","","0.497796 0.535734 0.520505 0.530768 0.536405 0.532865 0.545141 0.497066 0.525738 0.547067 0.531361 0.543578 0.543652 0.481858 0.527859 0.523468 0.524107 0.532498 0.553935 0.524307 0.486352 0.474726 0.539446 0.552637 0.517616 0.585028 0.540319 0.540135 0.526544 0.501149","1","","","","[[]]","0.0","","Linux cutter06 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/lu_ncb","det_ld_preload","","cutter06","cutter06_1492452940","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-lu_ncb,label=CREST_cutter-31","9","2017-04-17 18:15:40.070402 UTC","0.446403","0.8314539999999999","0.578668","","","","0.519101 0.517111 0.528401 0.551648 0.531933 0.498322 0.523082 0.563225 0.552284 0.541106 0.553506 0.538189 0.554945 0.532819 0.505572 0.578668 0.543979 0.446403 0.502267 0.519178 0.549041 0.526946 0.551213 0.525495 0.46146 0.524284 0.534083 0.547743 0.534826 0.548489","1","","","","[[]]","0.0","","Linux cutter06 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/lu_ncb","det_ld_preload","","cutter06","cutter06_1492452940","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-lu_ncb,label=CREST_cutter-31","10","2017-04-17 18:15:40.070402 UTC","0.443664","0.815412","0.558978","","","","0.553659 0.550299 0.549589 0.487328 0.55515 0.554131 0.535247 0.508912 0.533133 0.556765 0.541311 0.537372 0.443664 0.538245 0.54202 0.544402 0.531136 0.547053 0.5429 0.541441 0.558811 0.558978 0.553232 0.54638 0.543898 0.510856 0.552427 0.525826 0.536153 0.531998","1","","","","[[]]","0.0","","Linux cutter06 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
