PROGNAME,VARIANT,ARGS,HOSTNAME,RUNID,CI_BUILD_ID,THREADS,DATETIME,MINTIME,MEDIANTIME,MAXTIME,MINTIME_PRODUCTIVITY,MEDIANTIME_PRODUCTIVITY,MAXTIME_PRODUCTIVITY,ALLTIMES,TRIALS,COMPILER,COMPILE_FLAGS,RUNTIME_FLAGS,ENV_VARS,BENCH_VERSION,BENCH_FILE,UNAME,PROCESSOR,TOPOLOGY,GIT_BRANCH,GIT_HASH,GIT_DEPTH,WHO,ETC_ISSUE,LSPCI,FULL_LOG,MEDIANTIME_ALLOCRATE,MEDIANTIME_MEMFOOTPRINT,ALLJITTIMES,RETRIES
"06_splash/kernels/radix","det_ld_preload","","cutter04","cutter04_1492453396","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-radix,label=CREST_cutter-31","1","2017-04-17 18:23:16.243342 UTC","0.472101","0.761566","0.672086","","","","0.672086 0.540951 0.472101 0.542811 0.528155 0.540241 0.534192 0.510105 0.540093 0.542237 0.524014 0.518634 0.537943 0.513952 0.535076 0.494028 0.551301 0.541978 0.546221 0.522376 0.505477 0.511239 0.522803 0.547529 0.52484 0.502491 0.537838 0.544797 0.494198 0.538651","1","","","","[[]]","0.0","","Linux cutter04 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/radix","det_ld_preload","","cutter04","cutter04_1492453396","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-radix,label=CREST_cutter-31","2","2017-04-17 18:23:16.243342 UTC","0.450788","0.805856","0.56157","","","","0.530743 0.537926 0.533182 0.537909 0.554207 0.509052 0.542985 0.49752 0.543318 0.531152 0.543673 0.549722 0.546905 0.536003 0.538572 0.53657 0.525264 0.558388 0.541681 0.526708 0.450788 0.546568 0.56157 0.506164 0.557736 0.555462 0.524869 0.542548 0.529123 0.555447","1","","","","[[]]","0.0","","Linux cutter04 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/radix","det_ld_preload","","cutter04","cutter04_1492453396","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-radix,label=CREST_cutter-31","3","2017-04-17 18:23:16.243342 UTC","0.491157","0.798492","0.559331","","","","0.545926 0.51105 0.554748 0.537172 0.554695 0.516009 0.547857 0.538284 0.53882 0.543214 0.540898 0.52717 0.54999 0.510164 0.555106 0.520939 0.491157 0.511976 0.492951 0.559331 0.527239 0.533533 0.546347 0.535125 0.507411 0.529829 0.545701 0.515918 0.547726 0.549905","1","","","","[[]]","0.0","","Linux cutter04 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/radix","det_ld_preload","","cutter04","cutter04_1492453396","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-radix,label=CREST_cutter-31","4","2017-04-17 18:23:16.243342 UTC","0.501029","0.7915000000000001","0.555741","","","","0.545775 0.537903 0.547534 0.535575 0.523489 0.505898 0.540425 0.526699 0.544602 0.53936 0.531995 0.523344 0.518948 0.508143 0.514652 0.534174 0.533825 0.548373 0.501029 0.516931 0.555741 0.514381 0.545164 0.549397 0.543112 0.524578 0.514794 0.524145 0.523359 0.53854","1","","","","[[]]","0.0","","Linux cutter04 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/radix","det_ld_preload","","cutter04","cutter04_1492453396","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-radix,label=CREST_cutter-31","5","2017-04-17 18:23:16.243342 UTC","0.440752","0.7900725","0.55372","","","","0.507112 0.529283 0.55372 0.525244 0.460821 0.531986 0.547269 0.492689 0.549209 0.552208 0.538178 0.492369 0.546991 0.530349 0.490349 0.544898 0.526357 0.501979 0.440752 0.522267 0.547558 0.532675 0.541973 0.518287 0.544832 0.540167 0.538695 0.552409 0.519202 0.521314","1","","","","[[]]","0.0","","Linux cutter04 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/radix","det_ld_preload","","cutter04","cutter04_1492453396","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-radix,label=CREST_cutter-31","6","2017-04-17 18:23:16.243342 UTC","0.477621","0.8095995","0.615026","","","","0.537479 0.527178 0.50932 0.477621 0.547074 0.552193 0.52988 0.536539 0.543543 0.537641 0.558032 0.517517 0.615026 0.500809 0.525771 0.546714 0.511993 0.551221 0.519365 0.520649 0.543004 0.491812 0.531036 0.537695 0.541287 0.540548 0.532012 0.507237 0.553162 0.549519","1","","","","[[]]","0.0","","Linux cutter04 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/radix","det_ld_preload","","cutter04","cutter04_1492453396","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-radix,label=CREST_cutter-31","7","2017-04-17 18:23:16.243342 UTC","0.50721","0.810278","0.555218","","","","0.543808 0.509649 0.553783 0.537779 0.54782 0.525796 0.525678 0.538067 0.524724 0.51991 0.516317 0.548415 0.52359 0.547513 0.543236 0.53866 0.50721 0.531213 0.540462 0.536814 0.525853 0.555218 0.532542 0.549575 0.545933 0.534515 0.555189 0.554793 0.52564 0.551202","1","","","","[[]]","0.0","","Linux cutter04 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/radix","det_ld_preload","","cutter04","cutter04_1492453396","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-radix,label=CREST_cutter-31","8","2017-04-17 18:23:16.243342 UTC","0.433893","0.7808315","0.555926","","","","0.539779 0.518033 0.537179 0.532304 0.555484 0.5336 0.530445 0.52747 0.545066 0.520794 0.555926 0.505061 0.492597 0.505104 0.465201 0.548231 0.548363 0.517277 0.533567 0.521402 0.547074 0.546658 0.489369 0.547365 0.54431 0.5404 0.543578 0.531245 0.488492 0.433893","1","","","","[[]]","0.0","","Linux cutter04 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/radix","det_ld_preload","","cutter04","cutter04_1492453396","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-radix,label=CREST_cutter-31","9","2017-04-17 18:23:16.243342 UTC","0.482197","0.80339","0.560016","","","","0.512729 0.507878 0.545648 0.53085 0.555846 0.547816 0.509834 0.529702 0.546227 0.560016 0.522005 0.542552 0.52912 0.52678 0.553192 0.526794 0.52971 0.518238 0.533754 0.531738 0.528045 0.513744 0.500889 0.520791 0.482197 0.550356 0.538662 0.543918 0.536129 0.556451","1","","","","[[]]","0.0","","Linux cutter04 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/radix","det_ld_preload","","cutter04","cutter04_1492453396","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-radix,label=CREST_cutter-31","10","2017-04-17 18:23:16.243342 UTC","0.452897","0.790489","0.5634","","","","0.509286 0.548592 0.539083 0.5634 0.554885 0.535309 0.554986 0.555487 0.517083 0.528845 0.452897 0.529531 0.552921 0.525695 0.49575 0.542614 0.544881 0.541691 0.537546 0.55054 0.539317 0.552823 0.541229 0.517525 0.501026 0.55817 0.545423 0.547162 0.531234 0.513068","1","","","","[[]]","0.0","","Linux cutter04 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/radix","det_ld_preload","","cutter04","cutter04_1492453396","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-radix,label=CREST_cutter-31","11","2017-04-17 18:23:16.243342 UTC","0.46191","0.8049649999999999","0.555231","","","","0.531631 0.555231 0.539472 0.550825 0.537468 0.535253 0.542441 0.545596 0.53983 0.55214 0.520241 0.52857 0.510395 0.545176 0.532472 0.538729 0.537667 0.46191 0.524481 0.548159 0.52353 0.51187 0.519517 0.550061 0.54406 0.530782 0.548628 0.522225 0.531213 0.545831","1","","","","[[]]","0.0","","Linux cutter04 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/radix","det_ld_preload","","cutter04","cutter04_1492453396","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-radix,label=CREST_cutter-31","12","2017-04-17 18:23:16.243342 UTC","0.490416","0.752536","0.556655","","","","0.526291 0.553991 0.511118 0.523611 0.524372 0.54377 0.528507 0.546297 0.546317 0.546881 0.549857 0.517619 0.556655 0.548772 0.490416 0.507328 0.506509 0.545671 0.535009 0.515661 0.503743 0.509514 0.544671 0.536552 0.546068 0.537315 0.491404 0.539803 0.521559 0.491051","1","","","","[[]]","0.0","","Linux cutter04 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/radix","det_ld_preload","","cutter04","cutter04_1492453396","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-radix,label=CREST_cutter-31","13","2017-04-17 18:23:16.243342 UTC","0.454069","0.7914615","0.565609","","","","0.454069 0.458003 0.54051 0.528414 0.519439 0.53313 0.540285 0.510505 0.555094 0.555082 0.484787 0.511734 0.527025 0.528363 0.550543 0.51619 0.533236 0.456324 0.558688 0.565609 0.543375 0.540445 0.54686 0.556015 0.558918 0.530813 0.547617 0.537249 0.518483 0.548693","1","","","","[[]]","0.0","","Linux cutter04 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/radix","det_ld_preload","","cutter04","cutter04_1492453396","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-radix,label=CREST_cutter-31","14","2017-04-17 18:23:16.243342 UTC","0.465306","0.8209759999999999","0.554385","","","","0.526911 0.543866 0.524388 0.528538 0.55248 0.517082 0.535616 0.465306 0.514442 0.551145 0.508794 0.539066 0.544361 0.510057 0.55168 0.545136 0.541799 0.554385 0.550544 0.544469 0.541614 0.545875 0.508584 0.553927 0.541174 0.552842 0.538445 0.517504 0.472034 0.518031","1","","","","[[]]","0.0","","Linux cutter04 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/radix","det_ld_preload","","cutter04","cutter04_1492453396","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-radix,label=CREST_cutter-31","15","2017-04-17 18:23:16.243342 UTC","0.475369","0.7881655","0.560364","","","","0.548128 0.526559 0.531863 0.53816 0.55226 0.521199 0.518521 0.542857 0.54327 0.519256 0.499814 0.558004 0.533402 0.540056 0.475369 0.550481 0.485135 0.560364 0.541922 0.522376 0.526201 0.535745 0.487371 0.544126 0.49833 0.52343 0.500151 0.537349 0.536654 0.531813","1","","","","[[]]","0.0","","Linux cutter04 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/radix","det_ld_preload","","cutter04","cutter04_1492453396","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-radix,label=CREST_cutter-31","16","2017-04-17 18:23:16.243342 UTC","0.445814","0.8014435","0.597888","","","","0.529467 0.597888 0.528396 0.537193 0.54427 0.545101 0.533429 0.543744 0.52825 0.534458 0.595868 0.538607 0.538336 0.547228 0.547875 0.527506 0.55314 0.445814 0.557849 0.523207 0.534201 0.526936 0.543777 0.526646 0.531332 0.552886 0.539116 0.552982 0.541632 0.509375","1","","","","[[]]","0.0","","Linux cutter04 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/radix","det_ld_preload","","cutter04","cutter04_1492453396","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-radix,label=CREST_cutter-31","24","2017-04-17 18:23:16.243342 UTC","0.480242","0.7986739999999999","0.556514","","","","0.480242 0.535487 0.539666 0.540147 0.552633 0.532055 0.556514 0.535416 0.537267 0.541561 0.55159 0.527668 0.545122 0.554043 0.525006 0.536171 0.532433 0.5402 0.507608 0.537487 0.485236 0.537909 0.546361 0.510603 0.529842 0.55021 0.548395 0.537209 0.526025 0.5406","1","","","","[[]]","0.0","","Linux cutter04 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/radix","det_ld_preload","","cutter04","cutter04_1492453396","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-radix,label=CREST_cutter-31","32","2017-04-17 18:23:16.243342 UTC","0.508279","0.7755430000000001","0.622323","","","","0.540859 0.508279 0.530395 0.533342 0.522776 0.545144 0.545846 0.536015 0.547286 0.510471 0.545732 0.528385 0.551776 0.548697 0.523848 0.513619 0.547507 0.546022 0.541316 0.534691 0.542107 0.539866 0.537416 0.525298 0.622323 0.554405 0.547748 0.531767 0.522464 0.551003","1","","","","[[]]","0.0","","Linux cutter04 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/radix","nondet","","cutter04","cutter04_1492453396","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-radix,label=CREST_cutter-31","1","2017-04-17 18:23:16.243342 UTC","0.413148","0.7977935","0.655794","","","","0.509864 0.497007 0.518681 0.519854 0.531 0.52091 0.441416 0.488196 0.470186 0.507581 0.655794 0.49992 0.527354 0.506849 0.535157 0.530215 0.526112 0.523037 0.522679 0.519688 0.527055 0.52892 0.585742 0.539139 0.52968 0.522232 0.413148 0.531256 0.492716 0.45768","1","","","","[[]]","0.0","","Linux cutter04 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/kernels/radix","nondet","","cutter04","cutter04_1492453396","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-kernels-radix,label=CREST_cutter-31","2","2017-04-17 18:23:16.243342 UTC","0.465207","0.7679015","0.546146","","","","0.511017 0.535828 0.52672 0.535441 0.526431 0.522447 0.531484 0.534839 0.532288 0.543043 0.534063 0.529382 0.546146 0.533019 0.465207 0.535298 0.49517 0.539047 0.501571 0.505906 0.511089 0.5177 0.532282 0.535968 0.532705 0.528011 0.487221 0.502337 0.518938 0.54352","1","","","","[[]]","0.0","","Linux cutter04 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
