PROGNAME,VARIANT,ARGS,HOSTNAME,RUNID,CI_BUILD_ID,THREADS,DATETIME,MINTIME,MEDIANTIME,MAXTIME,MINTIME_PRODUCTIVITY,MEDIANTIME_PRODUCTIVITY,MAXTIME_PRODUCTIVITY,ALLTIMES,TRIALS,COMPILER,COMPILE_FLAGS,RUNTIME_FLAGS,ENV_VARS,BENCH_VERSION,BENCH_FILE,UNAME,PROCESSOR,TOPOLOGY,GIT_BRANCH,GIT_HASH,GIT_DEPTH,WHO,ETC_ISSUE,LSPCI,FULL_LOG,MEDIANTIME_ALLOCRATE,MEDIANTIME_MEMFOOTPRINT,ALLJITTIMES,RETRIES
"06_splash/apps/barnes","det_ld_preload","","cutter12","cutter12_1492455660","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-apps-barnes,label=CREST_cutter-32","1","2017-04-17 19:00:59.739801 UTC","1.426536","2.2986465000000003","1.732179","","","","1.648 1.507087 1.517001 1.540729 1.560489 1.426536 1.732179 1.679161 1.535566 1.559542 1.55109 1.534056 1.518737 1.520549 1.579837 1.508728 1.567946 1.563828 1.520562 1.502834 1.505962 1.533919 1.492455 1.534335 1.581848 1.55565 1.508735 1.494515 1.54886 1.447747","1","","","","[[]]","0.0","","Linux cutter12 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/apps/barnes","det_ld_preload","","cutter12","cutter12_1492455660","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-apps-barnes,label=CREST_cutter-32","2","2017-04-17 19:00:59.739801 UTC","0.850987","1.444864","1.004237","","","","1.004237 0.975334 0.984926 0.860687 0.859116 0.883762 0.999716 0.952544 0.936646 0.864597 0.875406 0.969413 0.936906 0.850987 0.99282 0.948454 0.99189 0.986535 0.895346 0.956632 0.995467 0.96163 0.85946 0.884084 0.975813 0.966533 0.948094 0.868331 0.963265 0.910363","1","","","","[[]]","0.0","","Linux cutter12 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/apps/barnes","det_ld_preload","","cutter12","cutter12_1492455660","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-apps-barnes,label=CREST_cutter-32","3","2017-04-17 19:00:59.739801 UTC","0.555732","0.9370585","0.768476","","","","0.667305 0.609483 0.664758 0.696096 0.647193 0.704363 0.634679 0.654032 0.655073 0.672112 0.556729 0.723825 0.650986 0.667733 0.634063 0.620027 0.598909 0.614088 0.745411 0.677138 0.670018 0.603513 0.555732 0.723809 0.669327 0.651524 0.73611 0.570013 0.768476 0.709665","1","","","","[[]]","0.0","","Linux cutter12 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/apps/barnes","det_ld_preload","","cutter12","cutter12_1492455660","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-apps-barnes,label=CREST_cutter-32","4","2017-04-17 19:00:59.739801 UTC","0.486418","0.8655135","0.675059","","","","0.604384 0.503803 0.536632 0.56483 0.516863 0.511314 0.497246 0.513126 0.525265 0.52551 0.548432 0.588726 0.57226 0.511151 0.560311 0.585358 0.608864 0.564591 0.585407 0.577412 0.675059 0.573871 0.521562 0.486418 0.547523 0.546354 0.536068 0.557349 0.523026 0.645465","1","","","","[[]]","0.0","","Linux cutter12 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/apps/barnes","det_ld_preload","","cutter12","cutter12_1492455660","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-apps-barnes,label=CREST_cutter-32","5","2017-04-17 19:00:59.739801 UTC","0.478974","0.781343","0.580514","","","","0.518023 0.53493 0.527033 0.478974 0.549721 0.540821 0.580514 0.53027 0.533107 0.554329 0.517596 0.518434 0.563437 0.511069 0.535102 0.513792 0.526392 0.506714 0.496032 0.49909 0.572543 0.498732 0.486143 0.548033 0.543714 0.503027 0.533156 0.518852 0.482899 0.524528","1","","","","[[]]","0.0","","Linux cutter12 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/apps/barnes","det_ld_preload","","cutter12","cutter12_1492455660","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-apps-barnes,label=CREST_cutter-32","6","2017-04-17 19:00:59.739801 UTC","0.457134","0.7482884999999999","0.589536","","","","0.493458 0.542111 0.501451 0.582154 0.520757 0.528057 0.490762 0.536805 0.482926 0.500251 0.553199 0.478931 0.498649 0.589536 0.524643 0.485967 0.462753 0.55208 0.542254 0.48124 0.522385 0.572309 0.548575 0.488838 0.492033 0.510562 0.503776 0.49829 0.480487 0.457134","1","","","","[[]]","0.0","","Linux cutter12 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/apps/barnes","det_ld_preload","","cutter12","cutter12_1492455660","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-apps-barnes,label=CREST_cutter-32","7","2017-04-17 19:00:59.739801 UTC","0.474574","0.7703625","0.645606","","","","0.548874 0.607532 0.545341 0.485083 0.49396 0.504921 0.504472 0.645606 0.505091 0.474574 0.505678 0.512313 0.501902 0.514145 0.519971 0.510377 0.506699 0.480485 0.486234 0.5214 0.54714 0.551599 0.535011 0.504924 0.477323 0.53786 0.532629 0.51196 0.497824 0.517615","1","","","","[[]]","0.0","","Linux cutter12 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/apps/barnes","det_ld_preload","","cutter12","cutter12_1492455660","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-apps-barnes,label=CREST_cutter-32","8","2017-04-17 19:00:59.739801 UTC","0.448627","0.747937","0.604653","","","","0.517508 0.527344 0.553945 0.503787 0.529268 0.550843 0.489549 0.491821 0.517225 0.558917 0.535598 0.448627 0.450787 0.484844 0.513686 0.491094 0.544581 0.516878 0.502335 0.480855 0.517114 0.546975 0.521515 0.604653 0.533115 0.54283 0.512731 0.50271 0.494166 0.488919","1","","","","[[]]","0.0","","Linux cutter12 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/apps/barnes","det_ld_preload","","cutter12","cutter12_1492455660","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-apps-barnes,label=CREST_cutter-32","9","2017-04-17 19:00:59.739801 UTC","0.469875","0.749692","0.623062","","","","0.505133 0.511213 0.485372 0.480962 0.4784 0.522959 0.590657 0.519915 0.519857 0.525585 0.47894 0.589918 0.521271 0.472835 0.51676 0.491312 0.556323 0.623062 0.510188 0.500999 0.515307 0.469875 0.471979 0.591849 0.53464 0.52559 0.516939 0.528447 0.589018 0.494046","1","","","","[[]]","0.0","","Linux cutter12 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
"06_splash/apps/barnes","det_ld_preload","","cutter12","cutter12_1492455660","jenkins-detmonad-bench-detmake-BENCHMARK_NAME=06_splash-apps-barnes,label=CREST_cutter-32","10","2017-04-17 19:00:59.739801 UTC","0.475203","0.7876589999999999","0.597212","","","","0.502976 0.505306 0.564561 0.483431 0.552463 0.523129 0.475203 0.524628 0.571076 0.508501 0.514499 0.523639 0.525482 0.523511 0.502544 0.536387 0.546279 0.52681 0.486499 0.521591 0.499853 0.483303 0.597212 0.485082 0.477611 0.517446 0.519851 0.517069 0.55968 0.512546","1","","","","[[]]","0.0","","Linux cutter12 3.19.0-28-generic #30~14.04.1-Ubuntu SMP Tue Sep 1 09:32:55 UTC 2015 x86_64 x86_64 x86_64 GNU/Linux","","Nothing","remotes/origin/master","eb10886efd54940a6bb7e18582e6550423492c3e","527","","","","","","","","0"
