PROGNAME,VARIANT,ARGS,HOSTNAME,RUNID,CI_BUILD_ID,THREADS,DATETIME,MINTIME,MEDIANTIME,MAXTIME,MINTIME_PRODUCTIVITY,MEDIANTIME_PRODUCTIVITY,MAXTIME_PRODUCTIVITY,ALLTIMES,TRIALS,COMPILER,COMPILE_FLAGS,RUNTIME_FLAGS,ENV_VARS,BENCH_VERSION,BENCH_FILE,UNAME,PROCESSOR,TOPOLOGY,GIT_BRANCH,GIT_HASH,GIT_DEPTH,WHO,ETC_ISSUE,LSPCI,FULL_LOG,MEDIANTIME_ALLOCRATE,MEDIANTIME_MEMFOOTPRINT,ALLJITTIMES,RETRIES
raxml,det_ld_preload,,c-swarm,c-swarm_1492486689,"jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=raxml_det_ld_preload,THREADSETTINGS=16,label=swarm-38",16,"2017-04-18 03:38:08.969058 UTC",3.488086626,3.928598741,4.390305147,,76.3,,"3.833294734 3.983927744 3.928786627 4.390305147 3.928598741 3.982970341 3.488086626 4.080311256 3.595081541",9,"The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS",[[]],0.0,,"Linux c-swarm 3.19.0-51-generic #58~14.04.1-Ubuntu SMP Fri Feb 26 22:02:58 UTC 2016 x86_64 x86_64 x86_64 GNU/Linux",,Nothing,remotes/origin/master,7837e2f55c55037c6709b588f3bf46cfbd429b48,532,,,,,384847151,59089016,,0
raxml,det_ld_preload,,c-swarm,c-swarm_1492486278,"jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=raxml_det_ld_preload,THREADSETTINGS=4,label=swarm-38",4,"2017-04-18 03:31:17.577563 UTC",12.486789968,13.367956058,14.574602869,,82.4,,"12.921981907 12.953694067 13.437917465 14.574602869 13.367956058 12.77983987 14.018641367 13.793474599 12.486789968",9,"The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS",[[]],0.0,,"Linux c-swarm 3.19.0-51-generic #58~14.04.1-Ubuntu SMP Fri Feb 26 22:02:58 UTC 2016 x86_64 x86_64 x86_64 GNU/Linux",,Nothing,remotes/origin/master,7837e2f55c55037c6709b588f3bf46cfbd429b48,532,,,,,105283452,70444624,,0
raxml,det_ld_preload,,c-swarm,c-swarm_1492488139,"jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=raxml_det_ld_preload,THREADSETTINGS=1,label=swarm-38",1,"2017-04-18 04:02:18.901248 UTC",35.817765933,36.331177285,38.904691206,,87.7,,"38.552228726 35.817765933 37.774159629 36.817695733 36.331177285 36.415134058 35.959368971 37.255896589 38.904691206",9,"The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS",[[]],0.0,,"Linux c-swarm 3.19.0-51-generic #58~14.04.1-Ubuntu SMP Fri Feb 26 22:02:58 UTC 2016 x86_64 x86_64 x86_64 GNU/Linux",,Nothing,remotes/origin/master~3,7837e2f55c55037c6709b588f3bf46cfbd429b48,532,,,,,40788455,67722464,,0
raxml,det_ld_preload,,c-swarm,c-swarm_1492487162,"jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=raxml_det_ld_preload,THREADSETTINGS=8,label=swarm-38",8,"2017-04-18 03:46:02.375988 UTC",7.002990734,8.424846028,8.536969369,,82.7,,"8.536969369 7.610047353 7.448267352 7.945741142 8.424846028 7.553818544 7.039323733 7.002990734 7.523511122",9,"The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS",[[]],0.0,,"Linux c-swarm 3.19.0-51-generic #58~14.04.1-Ubuntu SMP Fri Feb 26 22:02:58 UTC 2016 x86_64 x86_64 x86_64 GNU/Linux",,Nothing,remotes/origin/master~2,7837e2f55c55037c6709b588f3bf46cfbd429b48,532,,,,,166124345,63285200,,0
raxml,det_ld_preload,,c-swarm,c-swarm_1492487013,"jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=raxml_det_ld_preload,THREADSETTINGS=2,label=swarm-38",2,"2017-04-18 03:43:33.332194 UTC",21.387853306,22.134470352,23.126033773,,90.2,,"21.387853306 22.132896999 23.126033773 21.879389986 22.134470352 22.239011664 22.56157036 22.946510429 22.007482714",9,"The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS",[[]],0.0,,"Linux c-swarm 3.19.0-51-generic #58~14.04.1-Ubuntu SMP Fri Feb 26 22:02:58 UTC 2016 x86_64 x86_64 x86_64 GNU/Linux",,Nothing,remotes/origin/master,7837e2f55c55037c6709b588f3bf46cfbd429b48,532,,,,,60423053,63121488,,0
raxml,nondet,,c-swarm,c-swarm_1492486041,"jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=raxml_nondet,THREADSETTINGS=16,label=swarm-38",16,"2017-04-18 03:27:20.599318 UTC",6.658520904,7.304318739,8.727953088,,94.7,,"7.597688586 8.183994305 8.407259074 6.760196175 7.304318739 8.138666393 8.186400184 8.727953088 6.658520904",9,"The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS",[[]],0.0,,"Linux c-swarm 3.19.0-51-generic #58~14.04.1-Ubuntu SMP Fri Feb 26 22:02:58 UTC 2016 x86_64 x86_64 x86_64 GNU/Linux",,Nothing,remotes/origin/master,7837e2f55c55037c6709b588f3bf46cfbd429b48,532,,,,,75192220,25024960,,0
raxml,nondet,,c-swarm,c-swarm_1492487680,"jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=raxml_nondet,THREADSETTINGS=4,label=swarm-38",4,"2017-04-18 03:54:40.153189 UTC",12.993126462,13.965133187,13.965133187,,96.7,,"13.288698845 13.256131616 13.776352821 13.371741646 13.965133187 13.370268878 13.089907077 13.391669243 12.993126462",9,"The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS",[[]],0.0,,"Linux c-swarm 3.19.0-51-generic #58~14.04.1-Ubuntu SMP Fri Feb 26 22:02:58 UTC 2016 x86_64 x86_64 x86_64 GNU/Linux",,Nothing,remotes/origin/master~3,7837e2f55c55037c6709b588f3bf46cfbd429b48,532,,,,,41884417,21714464,,0
raxml,nondet,,c-swarm,c-swarm_1492487501,"jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=raxml_nondet,THREADSETTINGS=1,label=swarm-38",1,"2017-04-18 03:51:40.832885 UTC",28.779443355,30.522806699,31.022628669,,97.8,,"29.958477706 31.022628669 29.887023922 29.285600564 30.522806699 29.022377138 28.779443355 29.002668466 29.799277711",9,"The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS",[[]],0.0,,"Linux c-swarm 3.19.0-51-generic #58~14.04.1-Ubuntu SMP Fri Feb 26 22:02:58 UTC 2016 x86_64 x86_64 x86_64 GNU/Linux",,Nothing,remotes/origin/master~3,7837e2f55c55037c6709b588f3bf46cfbd429b48,532,,,,,22420617,19715504,,0
raxml,nondet,,c-swarm,c-swarm_1492488345,"jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=raxml_nondet,THREADSETTINGS=8,label=swarm-38",8,"2017-04-18 04:05:44.987108 UTC",8.887525029,10.797856893,11.374155856,,96.1,,"11.374155856 9.887898991 10.243562986 10.13893625 10.797856893 11.146807357 10.283689211 8.887525029 9.74498437",9,"The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS",[[]],0.0,,"Linux c-swarm 3.19.0-51-generic #58~14.04.1-Ubuntu SMP Fri Feb 26 22:02:58 UTC 2016 x86_64 x86_64 x86_64 GNU/Linux",,Nothing,remotes/origin/master~3,7837e2f55c55037c6709b588f3bf46cfbd429b48,532,,,,,52007113,24951992,,0
raxml,nondet,,c-swarm,c-swarm_1492486592,"jenkins-detmonad-bench-bioinfo-BENCHMARK_NAME=raxml_nondet,THREADSETTINGS=2,label=swarm-38",2,"2017-04-18 03:36:32.050168 UTC",21.00654425,21.478101945,24.614982963,,97.1,,"22.983498322 22.56538304 24.614982963 23.71910209 21.478101945 23.981430719 21.00654425 23.451982843 22.841505265",9,"The Glorious Glasgow Haskell Compilation System, version 8.0.2","-O2 -threaded","+RTS -s -RTS",[[]],0.0,,"Linux c-swarm 3.19.0-51-generic #58~14.04.1-Ubuntu SMP Fri Feb 26 22:02:58 UTC 2016 x86_64 x86_64 x86_64 GNU/Linux",,Nothing,remotes/origin/master,7837e2f55c55037c6709b588f3bf46cfbd429b48,532,,,,,25904823,22021496,,0
